FILE            	FILTER            	DATE-OBS  	EXPTIME	
784539p_10C.fits	g.MP9401          	2005-03-16	450.07 	
784539p_11C.fits	g.MP9401          	2005-03-16	450.07 	
784539p_12C.fits	g.MP9401          	2005-03-16	450.07 	
784539p_13C.fits	g.MP9401          	2005-03-16	450.07 	
784539p_14C.fits	g.MP9401          	2005-03-16	450.07 	
784539p_15C.fits	g.MP9401          	2005-03-16	450.07 	
784539p_16C.fits	g.MP9401          	2005-03-16	450.07 	
784539p_17C.fits	g.MP9401          	2005-03-16	450.07 	
784539p_18C.fits	g.MP9401          	2005-03-16	450.07 	
784539p_19C.fits	g.MP9401          	2005-03-16	450.07 	
784539p_1C.fits 	g.MP9401          	2005-03-16	450.07 	
784539p_20C.fits	g.MP9401          	2005-03-16	450.07 	
784539p_21C.fits	g.MP9401          	2005-03-16	450.07 	
784539p_22C.fits	g.MP9401          	2005-03-16	450.07 	
784539p_23C.fits	g.MP9401          	2005-03-16	450.07 	
784539p_24C.fits	g.MP9401          	2005-03-16	450.07 	
784539p_25C.fits	g.MP9401          	2005-03-16	450.07 	
784539p_26C.fits	g.MP9401          	2005-03-16	450.07 	
784539p_27C.fits	g.MP9401          	2005-03-16	450.07 	
784539p_28C.fits	g.MP9401          	2005-03-16	450.07 	
784539p_29C.fits	g.MP9401          	2005-03-16	450.07 	
784539p_2C.fits 	g.MP9401          	2005-03-16	450.07 	
784539p_30C.fits	g.MP9401          	2005-03-16	450.07 	
784539p_31C.fits	g.MP9401          	2005-03-16	450.07 	
784539p_32C.fits	g.MP9401          	2005-03-16	450.07 	
784539p_33C.fits	g.MP9401          	2005-03-16	450.07 	
784539p_34C.fits	g.MP9401          	2005-03-16	450.07 	
784539p_35C.fits	g.MP9401          	2005-03-16	450.07 	
784539p_36C.fits	g.MP9401          	2005-03-16	450.07 	
784539p_3C.fits 	g.MP9401          	2005-03-16	450.07 	
784539p_4C.fits 	g.MP9401          	2005-03-16	450.07 	
784539p_5C.fits 	g.MP9401          	2005-03-16	450.07 	
784539p_6C.fits 	g.MP9401          	2005-03-16	450.07 	
784539p_7C.fits 	g.MP9401          	2005-03-16	450.07 	
784539p_8C.fits 	g.MP9401          	2005-03-16	450.07 	
784539p_9C.fits 	g.MP9401          	2005-03-16	450.07 	
784540p_10C.fits	g.MP9401          	2005-03-16	450.07 	
784540p_11C.fits	g.MP9401          	2005-03-16	450.07 	
784540p_12C.fits	g.MP9401          	2005-03-16	450.07 	
784540p_13C.fits	g.MP9401          	2005-03-16	450.07 	
784540p_14C.fits	g.MP9401          	2005-03-16	450.07 	
784540p_15C.fits	g.MP9401          	2005-03-16	450.07 	
784540p_16C.fits	g.MP9401          	2005-03-16	450.07 	
784540p_17C.fits	g.MP9401          	2005-03-16	450.07 	
784540p_18C.fits	g.MP9401          	2005-03-16	450.07 	
784540p_19C.fits	g.MP9401          	2005-03-16	450.07 	
784540p_1C.fits 	g.MP9401          	2005-03-16	450.07 	
784540p_20C.fits	g.MP9401          	2005-03-16	450.07 	
784540p_21C.fits	g.MP9401          	2005-03-16	450.07 	
784540p_22C.fits	g.MP9401          	2005-03-16	450.07 	
784540p_23C.fits	g.MP9401          	2005-03-16	450.07 	
784540p_24C.fits	g.MP9401          	2005-03-16	450.07 	
784540p_25C.fits	g.MP9401          	2005-03-16	450.07 	
784540p_26C.fits	g.MP9401          	2005-03-16	450.07 	
784540p_27C.fits	g.MP9401          	2005-03-16	450.07 	
784540p_28C.fits	g.MP9401          	2005-03-16	450.07 	
784540p_29C.fits	g.MP9401          	2005-03-16	450.07 	
784540p_2C.fits 	g.MP9401          	2005-03-16	450.07 	
784540p_30C.fits	g.MP9401          	2005-03-16	450.07 	
784540p_31C.fits	g.MP9401          	2005-03-16	450.07 	
784540p_32C.fits	g.MP9401          	2005-03-16	450.07 	
784540p_33C.fits	g.MP9401          	2005-03-16	450.07 	
784540p_34C.fits	g.MP9401          	2005-03-16	450.07 	
784540p_35C.fits	g.MP9401          	2005-03-16	450.07 	
784540p_36C.fits	g.MP9401          	2005-03-16	450.07 	
784540p_3C.fits 	g.MP9401          	2005-03-16	450.07 	
784540p_4C.fits 	g.MP9401          	2005-03-16	450.07 	
784540p_5C.fits 	g.MP9401          	2005-03-16	450.07 	
784540p_6C.fits 	g.MP9401          	2005-03-16	450.07 	
784540p_7C.fits 	g.MP9401          	2005-03-16	450.07 	
784540p_8C.fits 	g.MP9401          	2005-03-16	450.07 	
784540p_9C.fits 	g.MP9401          	2005-03-16	450.07 	
788070p_10C.fits	g.MP9401          	2005-04-05	45.05  	
788070p_11C.fits	g.MP9401          	2005-04-05	45.05  	
788070p_12C.fits	g.MP9401          	2005-04-05	45.05  	
