BASE            FILTER  SEEING  RATE_BBCR  TOTAL_BBCR  EXPTIME  RMS    ERASED  TOTAL  CRonSTAR  FT400_new  LastStretch  SS_removed
SUPA0128329_1   W-C-IC  1.70    1.21       290         240      52.48  0       312    22        0          14           6
SUPA0128329_10  W-C-IC  1.70    1.36       327         240      52.48  0       327    0         2          7            5
SUPA0128329_2   W-C-IC  1.70    1.33       320         240      46.60  0       334    14        1          8            6
SUPA0128329_3   W-C-IC  1.70    1.29       309         240      47.35  0       314    5         1          7            2
SUPA0128329_4   W-C-IC  1.70    1.16       278         240      48.03  0       308    30        0          7            0
SUPA0128329_5   W-C-IC  1.70    1.34       321         240      52.12  0       330    9         0          7            1
SUPA0128329_6   W-C-IC  1.70    1.10       264         240      47.68  0       265    1         0          6            3
SUPA0128329_7   W-C-IC  1.70    1.32       316         240      47.21  0       329    13        1          12           7
SUPA0128329_8   W-C-IC  1.70    1.49       357         240      48.23  0       395    38        0          12           4
SUPA0128329_9   W-C-IC  1.70    1.13       271         240      48.86  0       332    61        2          8            2
SUPA0128330_1   W-C-IC  1.38    1.29       310         240      52.79  0       336    26        0          9            8
SUPA0128330_10  W-C-IC  1.38    1.43       343         240      52.79  0       346    3         0          13           2
SUPA0128330_2   W-C-IC  1.38    1.42       340         240      46.94  0       362    22        1          8            4
SUPA0128330_3   W-C-IC  1.38    1.19       285         240      47.67  0       289    4         0          6            5
SUPA0128330_5   W-C-IC  1.38    1.41       339         240      52.36  0       362    23        0          15           4
SUPA0128330_6   W-C-IC  1.38    1.44       345         240      47.92  0       345    0         0          14           5
SUPA0128330_7   W-C-IC  1.38    1.56       375         240      47.42  0       389    14        0          11           3
SUPA0128330_8   W-C-IC  1.38    1.51       362         240      48.57  0       397    35        1          11           2
SUPA0128330_9   W-C-IC  1.38    1.33       320         240      49.23  0       365    45        0          3            2
SUPA0128331_1   W-C-IC  1.38    1.36       327         240      55.70  0       372    45        1          15           3
SUPA0128331_10  W-C-IC  1.38    1.23       296         240      55.70  0       301    5         0          7            2
SUPA0128331_2   W-C-IC  1.38    1.24       298         240      49.59  0       321    23        0          11           3
SUPA0128331_3   W-C-IC  1.38    1.19       286         240      50.50  0       287    1         0          7            3
SUPA0128331_4   W-C-IC  1.38    1.12       268         240      51.01  0       315    47        1          7            0
SUPA0128331_5   W-C-IC  1.38    1.36       327         240      55.30  0       347    20        0          12           3
SUPA0128331_6   W-C-IC  1.38    1.29       309         240      50.81  0       311    2         1          7            3
SUPA0128331_7   W-C-IC  1.38    1.41       338         240      50.01  0       356    18        1          9            5
SUPA0128331_8   W-C-IC  1.38    1.48       354         240      50.76  0       417    63        0          8            4
SUPA0128331_9   W-C-IC  1.38    1.29       309         240      51.81  0       366    57        0          3            8
SUPA0128333_1   W-C-IC  1.06    1.38       330         240      51.08  0       353    23        0          8            3
SUPA0128333_10  W-C-IC  1.06    1.36       326         240      51.08  0       331    5         1          9            1
SUPA0128333_2   W-C-IC  1.06    1.33       319         240      45.92  0       344    25        0          8            5
SUPA0128333_3   W-C-IC  1.06    1.35       325         240      46.54  0       334    9         0          5            3
SUPA0128333_4   W-C-IC  1.06    1.29       309         240      47.22  0       345    36        2          7            2
SUPA0128333_5   W-C-IC  1.06    1.47       352         240      50.88  0       368    16        1          7            3
SUPA0128333_6   W-C-IC  1.06    1.34       321         240      46.91  0       325    4         0          8            5
SUPA0128333_7   W-C-IC  1.06    1.42       341         240      46.31  0       360    19        0          10           3
SUPA0128333_8   W-C-IC  1.06    1.37       329         240      47.01  0       396    67        0          9            2
SUPA0128333_9   W-C-IC  1.06    1.37       329         240      47.80  0       410    81        0          9            2
SUPA0128334_1   W-C-IC  1.05    1.30       312         240      48.51  0       340    28        0          11           5
SUPA0128334_10  W-C-IC  1.05    1.34       321         240      48.51  0       326    5         1          8            7
SUPA0128334_2   W-C-IC  1.05    1.40       336         240      43.25  0       370    34        1          8            4
SUPA0128334_3   W-C-IC  1.05    1.26       302         240      43.87  1       307    5         1          9            1
SUPA0128334_4   W-C-IC  1.05    1.32       316         240      44.58  0       360    44        0          6            7
SUPA0128334_5   W-C-IC  1.05    1.40       336         240      48.27  0       366    30        0          11           2
SUPA0128334_6   W-C-IC  1.05    1.16       279         240      44.00  0       282    3         1          8            8
SUPA0128334_7   W-C-IC  1.05    1.56       374         240      43.68  0       391    17        0          7            5
SUPA0128334_8   W-C-IC  1.05    1.40       335         240      44.81  0       383    48        1          13           7
SUPA0128334_9   W-C-IC  1.05    1.37       329         240      45.26  0       385    56        0          5            1
SUPA0128335_1   W-C-IC  1.08    1.42       341         240      49.12  0       373    32        0          13           6
SUPA0128335_10  W-C-IC  1.08    1.38       331         240      49.12  0       336    5         1          7            3
SUPA0128335_2   W-C-IC  1.08    1.25       301         240      44.03  0       330    29        1          5            1
SUPA0128335_3   W-C-IC  1.08    1.12       270         240      44.74  0       273    3         1          4            6
SUPA0128335_4   W-C-IC  1.08    1.21       291         240      45.32  0       339    48        0          9            3
SUPA0128335_5   W-C-IC  1.08    1.14       273         240      48.74  0       287    14        0          4            2
SUPA0128335_6   W-C-IC  1.08    1.27       306         240      44.82  0       310    4         0          11           1
SUPA0128335_7   W-C-IC  1.08    1.44       345         240      44.28  0       374    29        0          9            3
SUPA0128335_8   W-C-IC  1.08    1.55       372         240      45.03  0       445    73        0          11           3
SUPA0128335_9   W-C-IC  1.08    1.40       336         240      45.93  0       414    78        0          6            5
SUPA0128336_1   W-C-IC  1.03    1.40       336         240      47.83  0       343    7         0          9            6
SUPA0128336_10  W-C-IC  1.03    1.50       359         240      47.83  0       364    5         0          8            4
SUPA0128336_2   W-C-IC  1.03    1.33       319         240      43.46  0       339    20        1          6            2
SUPA0128336_3   W-C-IC  1.03    1.30       313         240      43.77  0       330    17        0          6            1
SUPA0128336_4   W-C-IC  1.03    1.18       282         240      44.49  0       330    48        0          4            2
SUPA0128336_5   W-C-IC  1.03    1.26       302         240      48.37  0       320    18        1          9            4
SUPA0128336_6   W-C-IC  1.03    1.34       321         240      43.83  0       342    21        0          8            7
SUPA0128336_7   W-C-IC  1.03    1.25       301         240      43.51  0       391    90        1          7            2
SUPA0128336_8   W-C-IC  1.03    1.26       303         240      44.06  0       339    36        0          16           1
SUPA0128336_9   W-C-IC  1.03    1.36       326         240      44.31  0       345    19        0          14           6
SUPA0128337_1   W-C-IC  0.93    1.50       361         240      48.52  0       373    12        0          10           3
SUPA0128337_10  W-C-IC  0.93    1.27       305         240      48.52  0       313    8         3          9            4
SUPA0128337_2   W-C-IC  0.93    1.36       327         240      43.72  0       357    30        1          7            1
SUPA0128337_3   W-C-IC  0.93    1.32       316         240      44.02  0       366    50        0          9            6
SUPA0128337_4   W-C-IC  0.93    1.35       325         240      44.64  0       340    15        0          10           3
SUPA0128337_5   W-C-IC  0.93    1.33       320         240      49.31  0       397    77        0          8            6
SUPA0128337_6   W-C-IC  0.93    1.35       325         240      44.36  0       374    49        1          19           2
SUPA0128337_7   W-C-IC  0.93    1.35       324         240      43.91  0       414    90        0          13           6
SUPA0128337_8   W-C-IC  0.93    1.24       298         240      44.11  0       333    35        0          8            5
SUPA0128337_9   W-C-IC  0.93    1.07       258         240      44.58  0       277    19        0          7            7
SUPA0128338_1   W-C-IC  0.85    1.31       315         240      49.86  0       329    14        0          8            5
SUPA0128338_10  W-C-IC  0.85    1.48       355         240      49.86  0       363    8         0          10           2
SUPA0128338_2   W-C-IC  0.85    1.26       303         240      44.86  0       331    28        0          9            4
SUPA0128338_3   W-C-IC  0.85    1.42       340         240      45.14  0       393    53        0          10           2
SUPA0128338_4   W-C-IC  0.85    1.16       279         240      45.95  0       297    18        0          4            1
SUPA0128338_5   W-C-IC  0.85    1.18       283         240      50.37  0       329    46        0          11           5
SUPA0128338_6   W-C-IC  0.85    1.16       278         240      45.53  0       333    55        0          2            5
SUPA0128338_7   W-C-IC  0.85    1.30       311         240      45.17  0       390    79        0          12           3
SUPA0128338_8   W-C-IC  0.85    1.42       340         240      45.37  0       376    36        0          11           2
SUPA0128338_9   W-C-IC  0.85    1.26       302         240      45.78  0       311    9         0          6            2
