BASE            FILTER  SEEING  RATE_BBCR  TOTAL_BBCR  EXPTIME  RMS    ERASED  TOTAL  CRonSTAR  FT400_new  LastStretch  SS_removed
SUPA0118315_1   W-J-B   0.84    1.54       277         180      12.31  0       279    2         0          5            4
SUPA0118315_10  W-J-B   0.84    1.17       211         180      12.31  0       212    1         1          2            7
SUPA0118315_2   W-J-B   0.84    1.24       224         180      12.25  0       226    2         0          7            3
SUPA0118315_3   W-J-B   0.84    1.28       230         180      12.19  0       232    2         0          6            6
SUPA0118315_4   W-J-B   0.84    1.43       257         180      12.25  0       260    3         0          3            5
SUPA0118315_5   W-J-B   0.84    1.86       335         180      12.61  0       335    0         0          15           5
SUPA0118315_6   W-J-B   0.84    1.16       209         180      12.72  0       209    0         0          5            5
SUPA0118315_7   W-J-B   0.84    1.24       223         180      12.14  0       224    1         1          5            3
SUPA0118315_8   W-J-B   0.84    1.42       255         180      12.02  0       257    2         0          5            2
SUPA0118315_9   W-J-B   0.84    1.52       273         180      12.01  0       275    2         0          7            5
SUPA0118316_1   W-J-B   0.84    1.33       240         180      12.46  0       240    0         0          4            5
SUPA0118316_10  W-J-B   0.84    1.39       251         180      12.46  0       251    0         0          8            4
SUPA0118316_2   W-J-B   0.84    1.46       263         180      12.36  0       264    1         1          6            3
SUPA0118316_3   W-J-B   0.84    1.16       209         180      12.26  0       211    2         0          2            4
SUPA0118316_4   W-J-B   0.84    1.31       235         180      12.39  0       237    2         0          7            2
SUPA0118316_5   W-J-B   0.84    1.29       232         180      12.84  0       233    1         0          2            2
SUPA0118316_6   W-J-B   0.84    1.65       297         180      12.88  0       299    2         0          9            7
SUPA0118316_7   W-J-B   0.84    1.22       220         180      12.36  0       224    4         0          5            2
SUPA0118316_8   W-J-B   0.84    1.21       218         180      12.14  0       219    1         0          3            5
SUPA0118316_9   W-J-B   0.84    1.47       264         180      12.04  0       266    2         0          7            7
SUPA0118317_1   W-J-B   0.75    1.34       242         180      12.45  0       242    0         0          4            4
