BASE            FILTER  SEEING  RATE_BBCR  TOTAL_BBCR  EXPTIME  RMS    ERASED  TOTAL  CRonSTAR  FT400_new  LastStretch  SS_removed
SUPA0118325_1   W-J-V   0.61    1.35       485         360      28.42  0       495    10        1          12           6
SUPA0118325_10  W-J-V   0.61    1.44       517         360      28.42  0       519    2         0          18           8
SUPA0118325_2   W-J-V   0.61    1.20       431         360      27.98  0       446    15        1          6            5
SUPA0118325_3   W-J-V   0.61    1.13       407         360      27.78  0       417    10        3          14           4
SUPA0118325_4   W-J-V   0.61    1.27       456         360      27.80  0       469    13        3          7            4
SUPA0118325_5   W-J-V   0.61    1.23       444         360      28.71  0       453    9         1          10           9
SUPA0118325_6   W-J-V   0.61    1.28       461         360      29.32  0       467    6         2          14           8
SUPA0118325_7   W-J-V   0.61    1.41       506         360      27.83  0       516    10        0          19           8
SUPA0118325_8   W-J-V   0.61    1.17       420         360      27.52  0       435    15        1          13           3
SUPA0118325_9   W-J-V   0.61    1.22       439         360      27.50  0       451    12        0          14           5
SUPA0118326_1   W-J-V   0.63    1.22       440         360      28.38  0       449    9         3          12           9
SUPA0118326_10  W-J-V   0.63    1.27       459         360      28.38  0       461    2         1          15           6
SUPA0118326_2   W-J-V   0.63    1.21       435         360      28.06  0       448    13        0          9            4
SUPA0118326_3   W-J-V   0.63    1.40       505         360      27.81  0       511    6         1          14           9
SUPA0118326_4   W-J-V   0.63    1.25       450         360      27.78  0       463    13        2          14           3
SUPA0118326_5   W-J-V   0.63    1.38       495         360      28.80  0       506    11        0          25           7
SUPA0118326_6   W-J-V   0.63    1.29       463         360      29.31  0       465    2         1          13           6
SUPA0118326_7   W-J-V   0.63    1.24       446         360      27.95  0       462    16        1          8            14
SUPA0118326_8   W-J-V   0.63    1.15       415         360      27.65  0       427    12        0          15           3
SUPA0118326_9   W-J-V   0.63    1.16       417         360      27.51  0       425    8         1          8            7
SUPA0118327_1   W-J-V   0.69    1.24       448         360      28.47  0       457    9         2          10           6
SUPA0118327_10  W-J-V   0.69    1.21       436         360      28.47  0       438    2         2          13           4
SUPA0118327_2   W-J-V   0.69    1.38       498         360      28.20  0       512    14        4          16           3
SUPA0118327_3   W-J-V   0.69    1.30       469         360      28.06  0       474    5         2          14           9
SUPA0118327_4   W-J-V   0.69    1.25       450         360      28.00  0       462    12        1          5            4
SUPA0118327_5   W-J-V   0.69    1.10       397         360      28.92  0       403    6         0          9            6
SUPA0118327_6   W-J-V   0.69    1.24       448         360      29.51  0       451    3         1          9            6
SUPA0118327_7   W-J-V   0.69    1.32       477         360      28.10  0       486    9         2          20           3
SUPA0118327_8   W-J-V   0.69    1.35       486         360      27.69  0       496    10        1          18           6
SUPA0118327_9   W-J-V   0.69    1.27       458         360      27.63  0       468    10        1          8            5
SUPA0118328_1   W-J-V   0.68    1.24       448         360      28.77  0       454    6         1          15           5
SUPA0118328_10  W-J-V   0.68    1.40       505         360      28.77  0       510    5         0          15           3
SUPA0118328_2   W-J-V   0.68    1.44       518         360      28.39  0       526    8         1          9            3
SUPA0118328_3   W-J-V   0.68    1.20       433         360      28.09  0       444    11        0          19           6
SUPA0118328_4   W-J-V   0.68    1.44       517         360      28.29  0       531    14        1          15           11
SUPA0118328_5   W-J-V   0.68    1.32       476         360      29.62  0       487    11        0          18           5
SUPA0118328_6   W-J-V   0.68    1.33       478         360      29.76  1       483    5         1          10           6
SUPA0118328_7   W-J-V   0.68    1.15       413         360      28.39  0       422    9         2          9            4
SUPA0118328_8   W-J-V   0.68    1.29       465         360      27.83  0       471    6         0          11           5
SUPA0118328_9   W-J-V   0.68    1.34       484         360      27.60  0       494    10        3          15           9
SUPA0118329_1   W-J-V   0.72    1.25       450         360      29.14  1       453    3         0          8            5
SUPA0118329_10  W-J-V   0.72    1.31       472         360      29.14  0       475    3         1          10           8
SUPA0118329_2   W-J-V   0.72    1.23       443         360      28.55  0       453    10        4          13           9
SUPA0118329_3   W-J-V   0.72    1.24       448         360      28.27  0       457    9         2          10           5
SUPA0118329_4   W-J-V   0.72    1.32       475         360      28.45  0       489    14        0          21           7
SUPA0118329_5   W-J-V   0.72    1.26       452         360      30.15  0       457    5         1          13           8
SUPA0118329_6   W-J-V   0.72    1.32       477         360      29.95  0       485    8         0          13           5
SUPA0118329_7   W-J-V   0.72    1.29       463         360      28.57  0       466    3         0          17           3
SUPA0118329_8   W-J-V   0.72    1.27       459         360      27.94  0       465    6         1          9            3
SUPA0118329_9   W-J-V   0.72    1.19       430         360      27.80  0       437    7         1          18           4
SUPA0118330_1   W-J-V   0.69    1.35       485         360      29.47  0       489    4         0          11           10
SUPA0118330_10  W-J-V   0.69    1.31       472         360      29.47  0       477    5         0          18           9
SUPA0118330_2   W-J-V   0.69    1.27       457         360      28.75  0       468    11        1          13           7
SUPA0118330_3   W-J-V   0.69    1.35       487         360      28.46  0       501    14        0          20           9
SUPA0118330_4   W-J-V   0.69    1.29       466         360      28.65  0       477    11        1          16           5
SUPA0118330_5   W-J-V   0.69    1.28       460         360      30.21  0       468    8         0          17           3
SUPA0118330_6   W-J-V   0.69    1.24       445         360      30.24  0       449    4         1          13           3
SUPA0118330_7   W-J-V   0.69    1.26       455         360      28.81  1       461    6         0          19           5
SUPA0118330_8   W-J-V   0.69    1.19       430         360      28.16  0       439    9         0          17           7
SUPA0118330_9   W-J-V   0.69    1.30       468         360      27.98  0       474    6         1          9            7
