BASE            FILTER  SEEING  RATE_BBCR  TOTAL_BBCR  EXPTIME  RMS    ERASED  TOTAL  CRonSTAR  FT400_new  LastStretch  SS_removed
SUPA0121582_1   W-S-G+  0.96    1.17       351         300      22.33  0       351    0         0          8            3
SUPA0121582_10  W-S-G+  0.96    1.17       352         300      22.33  0       353    1         2          7            10
SUPA0121582_2   W-S-G+  0.96    1.12       335         300      22.07  0       340    5         4          6            1
SUPA0121582_3   W-S-G+  0.96    1.05       314         300      21.88  0       314    0         3          2            5
SUPA0121582_4   W-S-G+  0.96    1.06       318         300      21.96  0       321    3         1          7            7
SUPA0121582_5   W-S-G+  0.96    1.13       339         300      22.73  0       339    0         1          4            8
SUPA0121582_6   W-S-G+  0.96    1.14       342         300      22.54  0       345    3         1          10           7
SUPA0121582_7   W-S-G+  0.96    1.22       367         300      21.99  0       369    2         1          8            8
SUPA0121582_8   W-S-G+  0.96    1.23       370         300      21.70  0       373    3         3          11           8
SUPA0121582_9   W-S-G+  0.96    1.21       363         300      21.75  0       368    5         0          10           5
SUPA0121583_1   W-S-G+  0.97    1.11       334         300      22.21  0       334    0         5          13           6
SUPA0121583_10  W-S-G+  0.97    1.26       377         300      22.21  0       378    1         2          13           5
SUPA0121583_2   W-S-G+  0.97    1.14       343         300      21.95  0       349    6         2          12           7
SUPA0121583_3   W-S-G+  0.97    1.34       402         300      21.73  0       403    1         0          16           4
SUPA0121583_4   W-S-G+  0.97    1.21       364         300      21.78  0       366    2         0          8            3
SUPA0121583_5   W-S-G+  0.97    1.28       385         300      22.57  0       387    2         1          18           4
SUPA0121583_6   W-S-G+  0.97    1.21       362         300      22.50  0       368    6         2          13           5
SUPA0121583_7   W-S-G+  0.97    1.17       352         300      21.82  0       354    2         2          9            4
SUPA0121583_8   W-S-G+  0.97    1.24       371         300      21.55  0       375    4         1          14           1
SUPA0121583_9   W-S-G+  0.97    1.01       303         300      21.58  0       307    4         1          6            2
SUPA0121584_1   W-S-G+  1.00    1.14       343         300      22.44  0       347    4         0          15           7
SUPA0121584_10  W-S-G+  1.00    1.23       368         300      22.44  0       369    1         3          6            3
SUPA0121584_2   W-S-G+  1.00    1.13       338         300      22.18  0       339    1         0          7            3
SUPA0121584_3   W-S-G+  1.00    1.23       370         300      21.98  0       372    2         1          9            1
SUPA0121584_4   W-S-G+  1.00    1.18       355         300      22.03  0       357    2         5          6            7
SUPA0121584_5   W-S-G+  1.00    1.17       352         300      22.81  0       356    4         0          12           8
SUPA0121584_6   W-S-G+  1.00    1.26       377         300      22.74  0       380    3         0          17           10
SUPA0121584_7   W-S-G+  1.00    1.14       341         300      22.07  0       343    2         2          7            7
SUPA0121584_8   W-S-G+  1.00    1.13       340         300      21.78  0       346    6         2          7            6
SUPA0121584_9   W-S-G+  1.00    1.24       373         300      21.80  0       375    2         1          11           4
SUPA0121585_1   W-S-G+  0.85    1.27       381         300      22.52  0       383    2         1          7            4
SUPA0121585_10  W-S-G+  0.85    1.00       300         300      22.52  0       305    5         1          10           2
SUPA0121585_2   W-S-G+  0.85    1.20       361         300      22.27  0       363    2         2          8            3
SUPA0121585_3   W-S-G+  0.85    1.14       343         300      22.11  0       345    2         2          13           6
SUPA0121585_4   W-S-G+  0.85    1.21       362         300      22.12  0       362    0         2          3            6
SUPA0121585_5   W-S-G+  0.85    1.23       368         300      23.02  0       375    7         1          6            6
SUPA0121585_6   W-S-G+  0.85    1.10       331         300      22.75  0       336    5         1          8            5
SUPA0121585_7   W-S-G+  0.85    1.20       360         300      22.19  0       362    2         1          14           1
SUPA0121585_8   W-S-G+  0.85    1.14       341         300      21.87  0       347    6         0          8            5
SUPA0121585_9   W-S-G+  0.85    1.10       330         300      21.96  0       336    6         1          12           4
