BASE            FILTER  SEEING  RATE_BBCR  TOTAL_BBCR  EXPTIME   RMS    ERASED                  TOTAL  CRonSTAR  FT400_new  LastStretch  SS_removed
SUPA0128341_1   W-S-Z+  0.84    1.32       317         240       69.61  0                       343    26        1          11           7
SUPA0128341_2   W-S-Z+  0.84    1.44       346         240       60.72  0                       380    34        0          5            5
SUPA0128341_3   W-S-Z+  0.84    1.40       335         240       60.87  0                       354    19        0          14           5
SUPA0128341_4   W-S-Z+  0.84    1.41       338         240       61.58  0                       385    47        0          12           7
SUPA0128341_5   W-S-Z+  0.84    1.43       344         240       66.93  0                       356    12        1          5            6
SUPA0128341_6   W-S-Z+  0.84    1.55       373         240       65.47  0                       381    8         0          7            11
SUPA0128341_7   W-S-Z+  0.84    1.39       333         240       62.60  1                       359    26        0          14           10
SUPA0128341_8   W-S-Z+  0.84    1.53       367         240       63.03  0                       437    70        2          10           10
SUPA0128341_9   W-S-Z+  0.84    1.36       326         240       63.78  0                       414    88        0          10           4
SUPA0128342_1   W-S-Z+  0.87    1.32       318         240       69.08  0                       356    38        1          10           6
SUPA0128342_10  W-S-Z+  0.87    1.53       367         240       69.08  0                       375    8         0          6            12
SUPA0128342_2   W-S-Z+  0.87    1.30       313         240       60.50  0                       347    34        0          12           4
SUPA0128342_3   W-S-Z+  0.87    1.34       321         240       60.67  0                       332    11        0          6            7
SUPA0128342_4   W-S-Z+  0.87    1.28       308         240       61.45  0                       352    44        0          9            5
SUPA0128342_5   W-S-Z+  0.87    1.51       363         240       66.88  0                       395    32        0          13           7
SUPA0128342_6   W-S-Z+  0.87    1.40       336         240       65.25  0                       342    6         1          6            7
SUPA0128342_7   W-S-Z+  0.87    1.46       350         240       62.32  0                       375    25        1          9            6
SUPA0128342_8   W-S-Z+  0.87    1.24       298         240       62.86  0                       360    62        0          7            5
SUPA0128342_9   W-S-Z+  0.87    1.32       316         240       63.52  0                       381    65        0          11           3
SUPA0128343_1   W-S-Z+  0.77    1.51       362         240       68.88  1                       417    55        1          11           30
SUPA0128343_10  W-S-Z+  0.77    1.67       401         240       68.88  0                       413    12        1          16           38
SUPA0128343_2   W-S-Z+  0.77    1.47       353         240       60.34  2                       393    40        1          16           21
SUPA0128343_3   W-S-Z+  0.77    1.43       342         240       60.77  1                       354    12        1          14           21
SUPA0128343_4   W-S-Z+  0.77    1.32       318         240       61.38  3                       375    57        0          13           11
SUPA0128343_5   W-S-Z+  0.77    1.52       364         240       66.58  3                       384    20        0          5            26
SUPA0128343_6   W-S-Z+  0.77    1.57       377         240       64.90  1                       389    12        1          6            24
SUPA0128343_7   W-S-Z+  0.77    1.57       377         240       62.25  2                       410    33        0          10           26
SUPA0128343_8   W-S-Z+  0.77    1.59       381         240       62.41  4                       445    64        1          13           30
SUPA0128343_9   W-S-Z+  0.77    1.77       424         240       63.58  2                       516    92        1          13           34
SUPA0128345_1   W-S-Z+  0.89    1.41       338         240       70.09  0                       355    17        0          18           7
SUPA0128345_10  W-S-Z+  0.89    1.52       366         240       70.09  0                       379    13        1          13           10
SUPA0128345_2   W-S-Z+  0.89    1.39       334         240       61.82  0                       376    42        1          8            6
SUPA0128345_3   W-S-Z+  0.89    1.36       326         240       61.84  0                       374    48        1          14           8
SUPA0128345_4   W-S-Z+  0.89    1.38       332         240       62.49  0                       354    22        1          15           4
SUPA0128345_5   W-S-Z+  0.89    1.51       363         240       68.82  0                       432    69        1          6            5
SUPA0128345_6   W-S-Z+  0.89    1.31       314         240       66.56  0                       365    51        0          10           4
SUPA0128345_7   W-S-Z+  0.89    1.33       320         240       63.61  0                       382    62        2          13           7
SUPA0128345_8   W-S-Z+  0.89    1.45       348         240       63.25  0                       392    44        0          11           8
SUPA0128345_9   W-S-Z+  0.89    1.21       291         240       63.81  0                       309    18        1          5            5
SUPA0128346_1   W-S-Z+  0.89    1.48       356         240       69.84  0                       367    11        1          13           7
SUPA0128346_10  W-S-Z+  0.89    1.38       332         240       69.84  0                       342    10        0          6            12
SUPA0128346_2   W-S-Z+  0.89    1.39       334         240       61.61  0                       362    28        0          10           4
SUPA0128346_4   W-S-Z+  0.89    1.40       335         240       62.20  0                       360    25        1          15           4
SUPA0128346_5   W-S-Z+  0.89    1.19       286         240       68.03  0                       349    63        0          10           4
SUPA0128346_6   W-S-Z+  0.89    1.58       379         240       66.43  0                       431    52        0          10           14
SUPA0128346_7   W-S-Z+  0.89    1.27       306         240       63.41  0                       404    98        1          8            5
SUPA0128346_8   W-S-Z+  0.89    1.57       377         240       63.11  0                       414    37        1          14           3
SUPA0128346_9   W-S-Z+  0.89    1.55       373         240       63.36  0                       385    12        0          9            5
SUPA0128347_1   W-S-Z+  0.89    1.48       354         240       70.57  0                       378    24        2          11           13
SUPA0128347_10  W-S-Z+  0.89    1.56       375         240       70.57  0                       384    9         0          12           13
SUPA0128347_2   W-S-Z+  0.89    1.46       351         240       61.61  0                       390    39        0          7            4
SUPA0128347_3   W-S-Z+  0.89    1.41       338         240       61.81  0                       355    17        0          11           2
SUPA0128347_4   W-S-Z+  0.89    1.36       327         240       62.64  0                       369    42        0          15           5
SUPA0128347_5   W-S-Z+  0.89    1.56       375         240       68.28  0                       387    12        0          14           12
SUPA0128347_6   W-S-Z+  0.89    1.38       331         240       66.19  0                       340    9         0          7            3
SUPA0128347_7   W-S-Z+  0.89    1.41       339         240       63.47  0                       363    24        2          12           4
SUPA0128347_8   W-S-Z+  0.89    1.45       347         240       63.77  0                       418    71        0          8            5
SUPA0128347_9   W-S-Z+  0.89    1.33       320         240       64.78  0                       404    84        0          10           5
