#files                                                                                        rms      seeing  dt             ft
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS0416-24/W-C-RC_2010-11-04/SCIENCE/SUPA0125903_10OCF.fits  37.7407  0.54    130.016083432  11.9234672383
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS0416-24/W-C-RC_2010-11-04/SCIENCE/SUPA0125903_1OCF.fits   38.145   0.54    128.638039061  11.7970900511
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS0416-24/W-C-RC_2010-11-04/SCIENCE/SUPA0125903_2OCF.fits   35.995   0.54    136.321655786  12.5017363523
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS0416-24/W-C-RC_2010-11-04/SCIENCE/SUPA0125903_3OCF.fits   36.0736  0.54    136.024627428  12.4744965848
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS0416-24/W-C-RC_2010-11-04/SCIENCE/SUPA0125903_4OCF.fits   36.3903  0.54    134.840822967  12.3659326799
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS0416-24/W-C-RC_2010-11-04/SCIENCE/SUPA0125903_5OCF.fits   37.7965  0.54    129.824137156  11.9058642996
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS0416-24/W-C-RC_2010-11-04/SCIENCE/SUPA0125903_6OCF.fits   37.7697  0.54    129.916255623  11.9143122662
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS0416-24/W-C-RC_2010-11-04/SCIENCE/SUPA0125903_7OCF.fits   36.2561  0.54    135.339929005  12.4117045132
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS0416-24/W-C-RC_2010-11-04/SCIENCE/SUPA0125903_8OCF.fits   36.3372  0.54    135.03786753   12.3840031703
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS0416-24/W-C-RC_2010-11-04/SCIENCE/SUPA0125903_9OCF.fits   36.1264  0.54    135.825822667  12.4562646707
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS0416-24/W-C-RC_2010-11-04/SCIENCE/SUPA0125904_10OCF.fits  37.9183  0.495   149.050049712  19.6475052943
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS0416-24/W-C-RC_2010-11-04/SCIENCE/SUPA0125904_1OCF.fits   38.3039  0.495   147.549583724  19.4497166085
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS0416-24/W-C-RC_2010-11-04/SCIENCE/SUPA0125904_2OCF.fits   36.3264  0.495   155.581739451  20.5085007047
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS0416-24/W-C-RC_2010-11-04/SCIENCE/SUPA0125904_3OCF.fits   36.3635  0.495   155.423006586  20.4875768284
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS0416-24/W-C-RC_2010-11-04/SCIENCE/SUPA0125904_4OCF.fits   36.5255  0.495   154.733665521  20.3967091484
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS0416-24/W-C-RC_2010-11-04/SCIENCE/SUPA0125904_5OCF.fits   38.1785  0.495   148.034220831  19.5136005867
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS0416-24/W-C-RC_2010-11-04/SCIENCE/SUPA0125904_6OCF.fits   38.1059  0.495   148.316258112  19.5507782259
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS0416-24/W-C-RC_2010-11-04/SCIENCE/SUPA0125904_7OCF.fits   36.5764  0.495   154.51833696   20.3683249308
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS0416-24/W-C-RC_2010-11-04/SCIENCE/SUPA0125904_8OCF.fits   36.59    0.495   154.460904619  20.3607543045
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS0416-24/W-C-RC_2010-11-04/SCIENCE/SUPA0125904_9OCF.fits   36.2396  0.495   155.954384154  20.5576220488
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS0416-24/W-C-RC_2010-11-04/SCIENCE/SUPA0125905_10OCF.fits  38.3896  0.525   134.285678934  13.9360660179
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS0416-24/W-C-RC_2010-11-04/SCIENCE/SUPA0125905_1OCF.fits   38.8558  0.525   132.674491324  13.7688581885
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS0416-24/W-C-RC_2010-11-04/SCIENCE/SUPA0125905_2OCF.fits   36.7521  0.525   140.268814571  14.5569913012
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS0416-24/W-C-RC_2010-11-04/SCIENCE/SUPA0125905_3OCF.fits   36.8473  0.525   139.906411053  14.5193813387
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS0416-24/W-C-RC_2010-11-04/SCIENCE/SUPA0125905_4OCF.fits   37.213   0.525   138.531521243  14.3766963158
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS0416-24/W-C-RC_2010-11-04/SCIENCE/SUPA0125905_5OCF.fits   38.5982  0.525   133.559945801  13.8607499832
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS0416-24/W-C-RC_2010-11-04/SCIENCE/SUPA0125905_6OCF.fits   38.854   0.525   132.680637772  13.7694960622
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS0416-24/W-C-RC_2010-11-04/SCIENCE/SUPA0125905_7OCF.fits   37.0177  0.525   139.262393396  14.4525456741
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS0416-24/W-C-RC_2010-11-04/SCIENCE/SUPA0125905_8OCF.fits   36.8815  0.525   139.776676654  14.505917601
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS0416-24/W-C-RC_2010-11-04/SCIENCE/SUPA0125905_9OCF.fits   36.693   0.525   140.494740141  14.5804376857
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS0416-24/W-C-RC_2010-11-04/SCIENCE/SUPA0125906_10OCF.fits  38.1705  0.54    128.552101754  11.7892089441
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS0416-24/W-C-RC_2010-11-04/SCIENCE/SUPA0125906_1OCF.fits   38.6875  0.54    126.834197092  11.6316639742
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS0416-24/W-C-RC_2010-11-04/SCIENCE/SUPA0125906_2OCF.fits   36.59    0.54    134.104892047  12.2984421973
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS0416-24/W-C-RC_2010-11-04/SCIENCE/SUPA0125906_3OCF.fits   36.6416  0.54    133.916040784  12.2811230951
