files	rms	seeing	dt	ft
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS0416-24/W-J-B_2010-11-04/SCIENCE/SUPA0125897_10OCF.fits	23.1467	0.795	151.209459664	19.4412162425
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS0416-24/W-J-B_2010-11-04/SCIENCE/SUPA0125897_1OCF.fits	23.2459	0.795	150.564185512	19.358252423
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS0416-24/W-J-B_2010-11-04/SCIENCE/SUPA0125897_2OCF.fits	22.1166	0.795	158.252172576	20.0
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS0416-24/W-J-B_2010-11-04/SCIENCE/SUPA0125897_3OCF.fits	22.1247	0.795	158.194235402	20.0
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS0416-24/W-J-B_2010-11-04/SCIENCE/SUPA0125897_4OCF.fits	22.4191	0.795	156.11688248	20.0
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS0416-24/W-J-B_2010-11-04/SCIENCE/SUPA0125897_5OCF.fits	23.1343	0.795	151.290508034	19.4516367472
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS0416-24/W-J-B_2010-11-04/SCIENCE/SUPA0125897_6OCF.fits	23.2442	0.795	150.575197254	19.3596682183
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS0416-24/W-J-B_2010-11-04/SCIENCE/SUPA0125897_7OCF.fits	22.5013	0.795	155.54656842	19.9988445112
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS0416-24/W-J-B_2010-11-04/SCIENCE/SUPA0125897_8OCF.fits	22.5405	0.795	155.27605865	19.9640646836
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS0416-24/W-J-B_2010-11-04/SCIENCE/SUPA0125897_9OCF.fits	22.3859	0.795	156.348415744	20.0
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS0416-24/W-J-B_2010-11-04/SCIENCE/SUPA0125898_10OCF.fits	23.1149	0.735	151.417483961	19.4679622235
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS0416-24/W-J-B_2010-11-04/SCIENCE/SUPA0125898_1OCF.fits	23.4046	0.735	149.543252181	19.2269895662
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS0416-24/W-J-B_2010-11-04/SCIENCE/SUPA0125898_2OCF.fits	22.1985	0.735	157.668310922	20.0
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS0416-24/W-J-B_2010-11-04/SCIENCE/SUPA0125898_3OCF.fits	22.1704	0.735	157.868148522	20.0
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS0416-24/W-J-B_2010-11-04/SCIENCE/SUPA0125898_4OCF.fits	22.5665	0.735	155.097157291	19.9410630802
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS0416-24/W-J-B_2010-11-04/SCIENCE/SUPA0125898_5OCF.fits	23.2892	0.735	150.284251928	19.3222609622
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS0416-24/W-J-B_2010-11-04/SCIENCE/SUPA0125898_6OCF.fits	23.6781	0.735	147.815914284	19.004903265
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS0416-24/W-J-B_2010-11-04/SCIENCE/SUPA0125898_7OCF.fits	22.5348	0.735	155.315334505	19.9691144363
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS0416-24/W-J-B_2010-11-04/SCIENCE/SUPA0125898_8OCF.fits	22.5684	0.735	155.084099892	19.9393842718
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS0416-24/W-J-B_2010-11-04/SCIENCE/SUPA0125898_9OCF.fits	22.3444	0.735	156.638799878	20.0
