#files                                                                                        rms      seeing  dt             ft
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS1226+21/W-C-RC_2006-03-04/SCIENCE/SUPA0046908_10OCF.fits  57.263   0.81    61.1214920629  7.85847755095
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS1226+21/W-C-RC_2006-03-04/SCIENCE/SUPA0046908_1OCF.fits   57.0623  0.81    61.3364690873  7.88611745408
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS1226+21/W-C-RC_2006-03-04/SCIENCE/SUPA0046908_2OCF.fits   53.6134  0.81    65.282186916   8.39342403205
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS1226+21/W-C-RC_2006-03-04/SCIENCE/SUPA0046908_3OCF.fits   53.6631  0.81    65.2217259159  8.38565047491
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS1226+21/W-C-RC_2006-03-04/SCIENCE/SUPA0046908_4OCF.fits   54.5142  0.81    64.2034552465  8.25472996027
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS1226+21/W-C-RC_2006-03-04/SCIENCE/SUPA0046908_5OCF.fits   58.0826  0.81    60.2590104437  7.74758705705
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS1226+21/W-C-RC_2006-03-04/SCIENCE/SUPA0046908_6OCF.fits   58.4356  0.81    59.8949955164  7.70078513783
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS1226+21/W-C-RC_2006-03-04/SCIENCE/SUPA0046908_7OCF.fits   54.8846  0.81    63.7701650372  8.19902121907
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS1226+21/W-C-RC_2006-03-04/SCIENCE/SUPA0046908_8OCF.fits   54.098   0.81    64.697401013   8.3182372731
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS1226+21/W-C-RC_2006-03-04/SCIENCE/SUPA0046908_9OCF.fits   55.5973  0.81    62.9526973432  8.09391822984
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS1226+21/W-C-RC_2006-03-04/SCIENCE/SUPA0046909_10OCF.fits  57.2991  0.795   61.0829838514  7.85352649518
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS1226+21/W-C-RC_2006-03-04/SCIENCE/SUPA0046909_1OCF.fits   57.1766  0.795   61.2138532197  7.87035255682
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS1226+21/W-C-RC_2006-03-04/SCIENCE/SUPA0046909_2OCF.fits   53.7324  0.795   65.1376078493  8.37483529491
