#files                                                                                       rms      seeing  dt     ft
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS1226+21/W-J-B_2010-02-12/SCIENCE/SUPA0118315_10OCF.fits  12.3051  0.84    170.0  20.0
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS1226+21/W-J-B_2010-02-12/SCIENCE/SUPA0118315_1OCF.fits   12.8067  0.84    170.0  20.0
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS1226+21/W-J-B_2010-02-12/SCIENCE/SUPA0118315_2OCF.fits   12.2496  0.84    170.0  20.0
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS1226+21/W-J-B_2010-02-12/SCIENCE/SUPA0118315_3OCF.fits   12.1853  0.84    170.0  20.0
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS1226+21/W-J-B_2010-02-12/SCIENCE/SUPA0118315_4OCF.fits   12.2468  0.84    170.0  20.0
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS1226+21/W-J-B_2010-02-12/SCIENCE/SUPA0118315_5OCF.fits   12.6107  0.84    170.0  20.0
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS1226+21/W-J-B_2010-02-12/SCIENCE/SUPA0118315_6OCF.fits   12.7232  0.84    170.0  20.0
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS1226+21/W-J-B_2010-02-12/SCIENCE/SUPA0118315_7OCF.fits   12.1407  0.84    170.0  20.0
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS1226+21/W-J-B_2010-02-12/SCIENCE/SUPA0118315_8OCF.fits   12.0183  0.84    170.0  20.0
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS1226+21/W-J-B_2010-02-12/SCIENCE/SUPA0118315_9OCF.fits   12.006   0.84    170.0  20.0
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS1226+21/W-J-B_2010-02-12/SCIENCE/SUPA0118316_10OCF.fits  12.4642  0.84    170.0  20.0
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS1226+21/W-J-B_2010-02-12/SCIENCE/SUPA0118316_1OCF.fits   12.9011  0.84    170.0  20.0
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS1226+21/W-J-B_2010-02-12/SCIENCE/SUPA0118316_2OCF.fits   12.3594  0.84    170.0  20.0
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS1226+21/W-J-B_2010-02-12/SCIENCE/SUPA0118316_3OCF.fits   12.2561  0.84    170.0  20.0
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS1226+21/W-J-B_2010-02-12/SCIENCE/SUPA0118316_4OCF.fits   12.3853  0.84    170.0  20.0
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS1226+21/W-J-B_2010-02-12/SCIENCE/SUPA0118316_5OCF.fits   12.8413  0.84    170.0  20.0
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS1226+21/W-J-B_2010-02-12/SCIENCE/SUPA0118316_6OCF.fits   12.8825  0.84    170.0  20.0
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS1226+21/W-J-B_2010-02-12/SCIENCE/SUPA0118316_7OCF.fits   12.3562  0.84    170.0  20.0
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS1226+21/W-J-B_2010-02-12/SCIENCE/SUPA0118316_8OCF.fits   12.1432  0.84    170.0  20.0
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS1226+21/W-J-B_2010-02-12/SCIENCE/SUPA0118316_9OCF.fits   12.0398  0.84    170.0  20.0
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS1226+21/W-J-B_2010-02-12/SCIENCE/SUPA0118317_10OCF.fits  12.451   0.75    170.0  20.0
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS1226+21/W-J-B_2010-02-12/SCIENCE/SUPA0118317_1OCF.fits   12.8595  0.75    170.0  20.0
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS1226+21/W-J-B_2010-02-12/SCIENCE/SUPA0118317_2OCF.fits   12.3679  0.75    170.0  20.0
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS1226+21/W-J-B_2010-02-12/SCIENCE/SUPA0118317_3OCF.fits   12.2408  0.75    170.0  20.0
