#files                                                                                       rms      seeing  dt             ft
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS1226+21/W-J-V_2010-02-12/SCIENCE/SUPA0118325_10OCF.fits  28.4174  0.615   128.988595016  15.8353684714
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS1226+21/W-J-V_2010-02-12/SCIENCE/SUPA0118325_1OCF.fits   29.5053  0.615   124.232612446  15.2514971886
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS1226+21/W-J-V_2010-02-12/SCIENCE/SUPA0118325_2OCF.fits   27.9835  0.615   130.988636161  16.0809048189
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS1226+21/W-J-V_2010-02-12/SCIENCE/SUPA0118325_3OCF.fits   27.7828  0.615   131.934884173  16.1970715695
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS1226+21/W-J-V_2010-02-12/SCIENCE/SUPA0118325_4OCF.fits   27.7983  0.615   131.861318858  16.1880402758
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS1226+21/W-J-V_2010-02-12/SCIENCE/SUPA0118325_5OCF.fits   28.7102  0.615   127.673109209  15.6738720037
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS1226+21/W-J-V_2010-02-12/SCIENCE/SUPA0118325_6OCF.fits   29.3184  0.615   125.024575011  15.3487229862
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS1226+21/W-J-V_2010-02-12/SCIENCE/SUPA0118325_7OCF.fits   27.8287  0.615   131.717273893  16.1703565025
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS1226+21/W-J-V_2010-02-12/SCIENCE/SUPA0118325_8OCF.fits   27.516   0.615   133.214148132  16.3541212386
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS1226+21/W-J-V_2010-02-12/SCIENCE/SUPA0118325_9OCF.fits   27.4992  0.615   133.295532234  16.3641124105
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS1226+21/W-J-V_2010-02-12/SCIENCE/SUPA0118326_10OCF.fits  28.376   0.63    123.343670708  15.8584719481
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS1226+21/W-J-V_2010-02-12/SCIENCE/SUPA0118326_1OCF.fits   29.5401  0.63    118.483011229  15.2335300151
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS1226+21/W-J-V_2010-02-12/SCIENCE/SUPA0118326_2OCF.fits   28.0583  0.63    124.740272932  16.0380350912
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS1226+21/W-J-V_2010-02-12/SCIENCE/SUPA0118326_3OCF.fits   27.81    0.63    125.854009349  16.1812297735
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS1226+21/W-J-V_2010-02-12/SCIENCE/SUPA0118326_4OCF.fits   27.7817  0.63    125.982211312  16.1977128829
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS1226+21/W-J-V_2010-02-12/SCIENCE/SUPA0118326_5OCF.fits   28.7971  0.63    121.540016182  15.6265735091
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS1226+21/W-J-V_2010-02-12/SCIENCE/SUPA0118326_6OCF.fits   29.3088  0.63    119.41805874   15.3537504094
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS1226+21/W-J-V_2010-02-12/SCIENCE/SUPA0118326_7OCF.fits   27.9453  0.63    125.244674418  16.1028867108
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS1226+21/W-J-V_2010-02-12/SCIENCE/SUPA0118326_8OCF.fits   27.654   0.63    126.563969046  16.2725103059
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS1226+21/W-J-V_2010-02-12/SCIENCE/SUPA0118326_9OCF.fits   27.5134  0.63    127.210740948  16.3556666933
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS1226+21/W-J-V_2010-02-12/SCIENCE/SUPA0118327_10OCF.fits  28.4723  0.69    122.926493469  15.8048348746
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS1226+21/W-J-V_2010-02-12/SCIENCE/SUPA0118327_1OCF.fits   29.6505  0.69    118.041854269  15.1768098346
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS1226+21/W-J-V_2010-02-12/SCIENCE/SUPA0118327_2OCF.fits   28.2007  0.69    124.110394423  15.9570507115
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS1226+21/W-J-V_2010-02-12/SCIENCE/SUPA0118327_3OCF.fits   28.0563  0.69    124.749165072  16.0391783664
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS1226+21/W-J-V_2010-02-12/SCIENCE/SUPA0118327_4OCF.fits   27.9966  0.69    125.015180415  16.073380339
