#files                                                                                        rms      seeing  dt             ft
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS1226+21/W-S-G+_2010-04-15/SCIENCE/SUPA0121582_10OCF.fits  22.3258  0.96    156.769298301  20.1560526387
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS1226+21/W-S-G+_2010-04-15/SCIENCE/SUPA0121582_1OCF.fits   22.7934  0.96    153.553221547  19.742557056
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS1226+21/W-S-G+_2010-04-15/SCIENCE/SUPA0121582_2OCF.fits   22.0711  0.96    158.578412494  20.388653035
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS1226+21/W-S-G+_2010-04-15/SCIENCE/SUPA0121582_3OCF.fits   21.8766  0.96    159.988297999  20.5699240284
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS1226+21/W-S-G+_2010-04-15/SCIENCE/SUPA0121582_4OCF.fits   21.9573  0.96    159.400290564  20.4943230725
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS1226+21/W-S-G+_2010-04-15/SCIENCE/SUPA0121582_5OCF.fits   22.7339  0.96    153.955106691  19.7942280031
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS1226+21/W-S-G+_2010-04-15/SCIENCE/SUPA0121582_6OCF.fits   22.5436  0.96    155.254706436  19.9613193989
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS1226+21/W-S-G+_2010-04-15/SCIENCE/SUPA0121582_7OCF.fits   21.9925  0.96    159.145163124  20.4615209731
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS1226+21/W-S-G+_2010-04-15/SCIENCE/SUPA0121582_8OCF.fits   21.7027  0.96    161.270256696  20.7347472895
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS1226+21/W-S-G+_2010-04-15/SCIENCE/SUPA0121582_9OCF.fits   21.7524  0.96    160.90178555   20.6873724279
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS1226+21/W-S-G+_2010-04-15/SCIENCE/SUPA0121583_10OCF.fits  22.2078  0.975   157.602283882  20.2631507849
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS1226+21/W-S-G+_2010-04-15/SCIENCE/SUPA0121583_1OCF.fits   22.6392  0.975   154.599102442  19.8770274568
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS1226+21/W-S-G+_2010-04-15/SCIENCE/SUPA0121583_2OCF.fits   21.9529  0.975   159.432239021  20.4984307312
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS1226+21/W-S-G+_2010-04-15/SCIENCE/SUPA0121583_3OCF.fits   21.7291  0.975   161.074319691  20.7095553889
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS1226+21/W-S-G+_2010-04-15/SCIENCE/SUPA0121583_4OCF.fits   21.779   0.975   160.705266541  20.6621056981
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS1226+21/W-S-G+_2010-04-15/SCIENCE/SUPA0121583_5OCF.fits   22.5727  0.975   155.054557053  19.9355859069
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS1226+21/W-S-G+_2010-04-15/SCIENCE/SUPA0121583_6OCF.fits   22.5018  0.975   155.543112107  19.998400128
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS1226+21/W-S-G+_2010-04-15/SCIENCE/SUPA0121583_7OCF.fits   21.8244  0.975   160.370960943  20.6191235498
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS1226+21/W-S-G+_2010-04-15/SCIENCE/SUPA0121583_8OCF.fits   21.5536  0.975   162.385865934  20.878182763
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS1226+21/W-S-G+_2010-04-15/SCIENCE/SUPA0121583_9OCF.fits   21.5812  0.975   162.17819213   20.8514818453
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS1226+21/W-S-G+_2010-04-15/SCIENCE/SUPA0121584_10OCF.fits  22.4392  1.005   155.97704018   20.0541908802
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS1226+21/W-S-G+_2010-04-15/SCIENCE/SUPA0121584_1OCF.fits   22.926   1.005   152.665096397  19.6283695368
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS1226+21/W-S-G+_2010-04-15/SCIENCE/SUPA0121584_2OCF.fits   22.181   1.005   157.792705469  20.2876335603
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS1226+21/W-S-G+_2010-04-15/SCIENCE/SUPA0121584_3OCF.fits   21.9824  1.005   159.218283718  20.4709221923
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS1226+21/W-S-G+_2010-04-15/SCIENCE/SUPA0121584_4OCF.fits   22.0261  1.005   158.90239307   20.4303076804
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS1226+21/W-S-G+_2010-04-15/SCIENCE/SUPA0121584_5OCF.fits   22.8096  1.005   153.444163861  19.7285353535
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS1226+21/W-S-G+_2010-04-15/SCIENCE/SUPA0121584_6OCF.fits   22.7365  1.005   153.937501374  19.7919644624
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS1226+21/W-S-G+_2010-04-15/SCIENCE/SUPA0121584_7OCF.fits   22.0708  1.005   158.58056799   20.3889301702
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS1226+21/W-S-G+_2010-04-15/SCIENCE/SUPA0121584_8OCF.fits   21.7824  1.005   160.680182165  20.6588805641
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS1226+21/W-S-G+_2010-04-15/SCIENCE/SUPA0121584_9OCF.fits   21.8019  1.005   160.536467005  20.6404029007
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS1226+21/W-S-G+_2010-04-15/SCIENCE/SUPA0121585_10OCF.fits  22.5206  0.855   155.413266076  19.9817056384
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS1226+21/W-S-G+_2010-04-15/SCIENCE/SUPA0121585_1OCF.fits   23.0038  0.855   152.14877542   19.5619854111
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS1226+21/W-S-G+_2010-04-15/SCIENCE/SUPA0121585_2OCF.fits   22.2674  0.855   157.180452141  20.2089152752
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS1226+21/W-S-G+_2010-04-15/SCIENCE/SUPA0121585_3OCF.fits   22.1062  0.855   158.3266233    20.3562801386
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS1226+21/W-S-G+_2010-04-15/SCIENCE/SUPA0121585_4OCF.fits   22.1233  0.855   158.204246202  20.3405459403
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS1226+21/W-S-G+_2010-04-15/SCIENCE/SUPA0121585_5OCF.fits   23.0217  0.855   152.030475595  19.5467754336
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS1226+21/W-S-G+_2010-04-15/SCIENCE/SUPA0121585_6OCF.fits   22.7511  0.855   153.838715491  19.7792634202
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS1226+21/W-S-G+_2010-04-15/SCIENCE/SUPA0121585_7OCF.fits   22.1934  0.855   157.704542792  20.276298359
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS1226+21/W-S-G+_2010-04-15/SCIENCE/SUPA0121585_8OCF.fits   21.8678  0.855   160.052680196  20.5782017395
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS1226+21/W-S-G+_2010-04-15/SCIENCE/SUPA0121585_9OCF.fits   21.9571  0.855   159.401742489  20.4945097486
