#files                                                                                        rms      seeing  dt             ft
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS1226+21/W-S-I+_2010-04-15/SCIENCE/SUPA0121389_10OCF.fits  52.3234  0.87    66.8916775286  8.60035853939
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS1226+21/W-S-I+_2010-04-15/SCIENCE/SUPA0121389_1OCF.fits   51.8103  0.87    67.5541349886  8.68553164139
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS1226+21/W-S-I+_2010-04-15/SCIENCE/SUPA0121389_2OCF.fits   50.2618  0.87    69.6353891027  8.95312145606
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS1226+21/W-S-I+_2010-04-15/SCIENCE/SUPA0121389_3OCF.fits   50.2989  0.87    69.5840266885  8.94651771709
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS1226+21/W-S-I+_2010-04-15/SCIENCE/SUPA0121389_4OCF.fits   50.2329  0.87    69.6754517458  8.95827236731
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS1226+21/W-S-I+_2010-04-15/SCIENCE/SUPA0121389_5OCF.fits   52.351   0.87    66.8564115299  8.59582433955
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS1226+21/W-S-I+_2010-04-15/SCIENCE/SUPA0121389_6OCF.fits   51.8814  0.87    67.4615565501  8.6736286993
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS1226+21/W-S-I+_2010-04-15/SCIENCE/SUPA0121389_7OCF.fits   50.0997  0.87    69.8606977686  8.98208971311
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS1226+21/W-S-I+_2010-04-15/SCIENCE/SUPA0121389_8OCF.fits   49.9911  0.87    70.0124622183  9.00160228521
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS1226+21/W-S-I+_2010-04-15/SCIENCE/SUPA0121389_9OCF.fits   50.0679  0.87    69.9050689164  8.98779457497
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS1226+21/W-S-I+_2010-04-15/SCIENCE/SUPA0121390_10OCF.fits  51.2659  0.855   68.2715021096  8.77776455695
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS1226+21/W-S-I+_2010-04-15/SCIENCE/SUPA0121390_1OCF.fits   50.7239  0.855   69.0010034717  8.87155758922
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS1226+21/W-S-I+_2010-04-15/SCIENCE/SUPA0121390_2OCF.fits   49.439   0.855   70.7943121827  9.10212585206
