#files                                                                                        rms      seeing  dt             ft
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS1226+21/W-C-IC_2011-01-06/SCIENCE/SUPA0128329_10OCF.fits  52.4782  1.695   66.694360706   8.57498923362
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS1226+21/W-C-IC_2011-01-06/SCIENCE/SUPA0128329_1OCF.fits   47.3894  1.695   73.8561788079  9.49579441816
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS1226+21/W-C-IC_2011-01-06/SCIENCE/SUPA0128329_2OCF.fits   46.5965  1.695   75.112937667   9.65737770004
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS1226+21/W-C-IC_2011-01-06/SCIENCE/SUPA0128329_3OCF.fits   47.3488  1.695   73.9195079918  9.5039367418
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS1226+21/W-C-IC_2011-01-06/SCIENCE/SUPA0128329_4OCF.fits   48.0343  1.695   72.8645988387  9.36830556498
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS1226+21/W-C-IC_2011-01-06/SCIENCE/SUPA0128329_5OCF.fits   52.1225  1.695   67.1495035733  8.63350760228
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS1226+21/W-C-IC_2011-01-06/SCIENCE/SUPA0128329_6OCF.fits   47.6817  1.695   73.4034231162  9.43758297208
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS1226+21/W-C-IC_2011-01-06/SCIENCE/SUPA0128329_7OCF.fits   47.2118  1.695   74.1340088707  9.53151542623
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS1226+21/W-C-IC_2011-01-06/SCIENCE/SUPA0128329_8OCF.fits   48.2325  1.695   72.5651790805  9.32980873892
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS1226+21/W-C-IC_2011-01-06/SCIENCE/SUPA0128329_9OCF.fits   48.8599  1.695   71.6333844318  9.2100065698
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS1226+21/W-C-IC_2011-01-06/SCIENCE/SUPA0128330_10OCF.fits  52.792   1.38    66.2979239279  8.52401879073
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS1226+21/W-C-IC_2011-01-06/SCIENCE/SUPA0128330_1OCF.fits   47.7002  1.38    73.3749544027  9.43392270892
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS1226+21/W-C-IC_2011-01-06/SCIENCE/SUPA0128330_2OCF.fits   46.9388  1.38    74.5651784877  9.58695151985
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS1226+21/W-C-IC_2011-01-06/SCIENCE/SUPA0128330_3OCF.fits   47.6749  1.38    73.4138928451  9.43892908008
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS1226+21/W-C-IC_2011-01-06/SCIENCE/SUPA0128330_4OCF.fits   48.3939  1.38    72.3231646964  9.29869260382
