#files                                                                                        rms      seeing  dt             ft
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS1226+21/W-S-Z+_2011-01-06/SCIENCE/SUPA0128341_10OCF.fits  69.6081  0.84    50.281504595   6.4647648765
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS1226+21/W-S-Z+_2011-01-06/SCIENCE/SUPA0128341_1OCF.fits   63.9148  0.84    54.7603997822  7.04062282914
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS1226+21/W-S-Z+_2011-01-06/SCIENCE/SUPA0128341_2OCF.fits   60.7228  0.84    57.6389758048  7.41072546062
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS1226+21/W-S-Z+_2011-01-06/SCIENCE/SUPA0128341_3OCF.fits   60.8658  0.84    57.5035570057  7.39331447217
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS1226+21/W-S-Z+_2011-01-06/SCIENCE/SUPA0128341_4OCF.fits   61.5791  0.84    56.8374659584  7.30767419465
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS1226+21/W-S-Z+_2011-01-06/SCIENCE/SUPA0128341_5OCF.fits   66.9268  0.84    52.2959412373  6.72376387337
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS1226+21/W-S-Z+_2011-01-06/SCIENCE/SUPA0128341_6OCF.fits   65.4706  0.84    53.4591098905  6.87331412878
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS1226+21/W-S-Z+_2011-01-06/SCIENCE/SUPA0128341_7OCF.fits   62.5968  0.84    55.913401324   7.18886588452
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS1226+21/W-S-Z+_2011-01-06/SCIENCE/SUPA0128341_8OCF.fits   63.0295  0.84    55.5295536217  7.13951403708
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS1226+21/W-S-Z+_2011-01-06/SCIENCE/SUPA0128341_9OCF.fits   63.7773  0.84    54.8784598909  7.05580198597
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS1226+21/W-S-Z+_2011-01-06/SCIENCE/SUPA0128342_10OCF.fits  69.0849  0.87    50.6623010238  6.51372441735
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS1226+21/W-S-Z+_2011-01-06/SCIENCE/SUPA0128342_1OCF.fits   63.8367  0.87    54.8273955264  7.04923656768
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS1226+21/W-S-Z+_2011-01-06/SCIENCE/SUPA0128342_2OCF.fits   60.497   0.87    57.8541084682  7.43838537448
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS1226+21/W-S-Z+_2011-01-06/SCIENCE/SUPA0128342_3OCF.fits   60.6687  0.87    57.6903741138  7.41733381464
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS1226+21/W-S-Z+_2011-01-06/SCIENCE/SUPA0128342_4OCF.fits   61.4496  0.87    56.9572462636  7.32307451961
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS1226+21/W-S-Z+_2011-01-06/SCIENCE/SUPA0128342_5OCF.fits   66.8846  0.87    52.3289367059  6.7280061479
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS1226+21/W-S-Z+_2011-01-06/SCIENCE/SUPA0128342_6OCF.fits   65.2536  0.87    53.6368874667  6.89617124572
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS1226+21/W-S-Z+_2011-01-06/SCIENCE/SUPA0128342_7OCF.fits   62.3212  0.87    56.1606644288  7.22065685513
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS1226+21/W-S-Z+_2011-01-06/SCIENCE/SUPA0128342_8OCF.fits   62.8619  0.87    55.6776043995  7.15854913708
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS1226+21/W-S-Z+_2011-01-06/SCIENCE/SUPA0128342_9OCF.fits   63.5185  0.87    55.1020568811  7.08455017042
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS1226+21/W-S-Z+_2011-01-06/SCIENCE/SUPA0128343_10OCF.fits  68.8807  0.765   50.812491743   6.53303465267
/nfs/slac/g/ki/ki18/anja/SUBARU/MACS1226+21/W-S-Z+_2011-01-06/SCIENCE/SUPA0128343_1OCF.fits   63.6312  0.765   55.0044632193  7.07200241391
