FILE                  	FILTER            	OBJECT            	EXPTIME	
SUPA0125903_10OCF.fits	W-C-RC            	MACSJ0416-24      	240.00 	
SUPA0125903_1OCF.fits 	W-C-RC            	MACSJ0416-24      	240.00 	
SUPA0125903_2OCF.fits 	W-C-RC            	MACSJ0416-24      	240.00 	
SUPA0125903_3OCF.fits 	W-C-RC            	MACSJ0416-24      	240.00 	
SUPA0125903_4OCF.fits 	W-C-RC            	MACSJ0416-24      	240.00 	
SUPA0125903_5OCF.fits 	W-C-RC            	MACSJ0416-24      	240.00 	
SUPA0125903_6OCF.fits 	W-C-RC            	MACSJ0416-24      	240.00 	
SUPA0125903_7OCF.fits 	W-C-RC            	MACSJ0416-24      	240.00 	
SUPA0125903_8OCF.fits 	W-C-RC            	MACSJ0416-24      	240.00 	
SUPA0125903_9OCF.fits 	W-C-RC            	MACSJ0416-24      	240.00 	
SUPA0125904_10OCF.fits	W-C-RC            	MACSJ0416-24      	240.00 	
SUPA0125904_1OCF.fits 	W-C-RC            	MACSJ0416-24      	240.00 	
SUPA0125904_2OCF.fits 	W-C-RC            	MACSJ0416-24      	240.00 	
SUPA0125904_3OCF.fits 	W-C-RC            	MACSJ0416-24      	240.00 	
SUPA0125904_4OCF.fits 	W-C-RC            	MACSJ0416-24      	240.00 	
SUPA0125904_5OCF.fits 	W-C-RC            	MACSJ0416-24      	240.00 	
SUPA0125904_6OCF.fits 	W-C-RC            	MACSJ0416-24      	240.00 	
SUPA0125904_7OCF.fits 	W-C-RC            	MACSJ0416-24      	240.00 	
SUPA0125904_8OCF.fits 	W-C-RC            	MACSJ0416-24      	240.00 	
SUPA0125904_9OCF.fits 	W-C-RC            	MACSJ0416-24      	240.00 	
SUPA0125905_10OCF.fits	W-C-RC            	MACSJ0416-24      	240.00 	
SUPA0125905_1OCF.fits 	W-C-RC            	MACSJ0416-24      	240.00 	
SUPA0125905_2OCF.fits 	W-C-RC            	MACSJ0416-24      	240.00 	
SUPA0125905_3OCF.fits 	W-C-RC            	MACSJ0416-24      	240.00 	
SUPA0125905_4OCF.fits 	W-C-RC            	MACSJ0416-24      	240.00 	
SUPA0125905_5OCF.fits 	W-C-RC            	MACSJ0416-24      	240.00 	
SUPA0125905_6OCF.fits 	W-C-RC            	MACSJ0416-24      	240.00 	
SUPA0125905_7OCF.fits 	W-C-RC            	MACSJ0416-24      	240.00 	
SUPA0125905_8OCF.fits 	W-C-RC            	MACSJ0416-24      	240.00 	
SUPA0125905_9OCF.fits 	W-C-RC            	MACSJ0416-24      	240.00 	
SUPA0125906_10OCF.fits	W-C-RC            	MACSJ0416-24      	240.00 	
SUPA0125906_1OCF.fits 	W-C-RC            	MACSJ0416-24      	240.00 	
SUPA0125906_2OCF.fits 	W-C-RC            	MACSJ0416-24      	240.00 	
SUPA0125906_3OCF.fits 	W-C-RC            	MACSJ0416-24      	240.00 	
SUPA0125906_4OCF.fits 	W-C-RC            	MACSJ0416-24      	240.00 	
SUPA0125906_5OCF.fits 	W-C-RC            	MACSJ0416-24      	240.00 	
SUPA0125906_6OCF.fits 	W-C-RC            	MACSJ0416-24      	240.00 	
SUPA0125906_7OCF.fits 	W-C-RC            	MACSJ0416-24      	240.00 	
SUPA0125906_8OCF.fits 	W-C-RC            	MACSJ0416-24      	240.00 	
SUPA0125906_9OCF.fits 	W-C-RC            	MACSJ0416-24      	240.00 	
SUPA0125907_10OCF.fits	W-C-RC            	MACSJ0416-24      	240.00 	
SUPA0125907_1OCF.fits 	W-C-RC            	MACSJ0416-24      	240.00 	
SUPA0125907_2OCF.fits 	W-C-RC            	MACSJ0416-24      	240.00 	
SUPA0125907_3OCF.fits 	W-C-RC            	MACSJ0416-24      	240.00 	
SUPA0125907_4OCF.fits 	W-C-RC            	MACSJ0416-24      	240.00 	
SUPA0125907_5OCF.fits 	W-C-RC            	MACSJ0416-24      	240.00 	
SUPA0125907_6OCF.fits 	W-C-RC            	MACSJ0416-24      	240.00 	
SUPA0125907_7OCF.fits 	W-C-RC            	MACSJ0416-24      	240.00 	
SUPA0125907_8OCF.fits 	W-C-RC            	MACSJ0416-24      	240.00 	
SUPA0125907_9OCF.fits 	W-C-RC            	MACSJ0416-24      	240.00 	
SUPA0125908_10OCF.fits	W-C-RC            	MACSJ0416-24      	240.00 	
SUPA0125908_1OCF.fits 	W-C-RC            	MACSJ0416-24      	240.00 	
SUPA0125908_2OCF.fits 	W-C-RC            	MACSJ0416-24      	240.00 	
SUPA0125908_3OCF.fits 	W-C-RC            	MACSJ0416-24      	240.00 	
SUPA0125908_4OCF.fits 	W-C-RC            	MACSJ0416-24      	240.00 	
SUPA0125908_5OCF.fits 	W-C-RC            	MACSJ0416-24      	240.00 	
SUPA0125908_6OCF.fits 	W-C-RC            	MACSJ0416-24      	240.00 	
