2009-03-28_W-J-V 	 A2204
2009-03-28_W-S-I+ 	 A2204
2009-09-19_W-J-V 	 A2204
2009-04-29_W-S-Z+ 	 MACSJ1115+01
2009-04-29_W-J-B 	 MACSJ1115+01
2010-03-12_W-J-B 	 MACSJ1115+01
2010-03-12_W-S-Z+ 	 MACSJ1115+01
2010-03-12_W-C-RC 	 MACSJ1115+01
2010-11-04_W-J-B* 	 RXJ2129+00
2010-11-04_W-S-Z+* 	 RXJ2129+00
2012-07-23_W-C-RC 	 RXJ2129+00
2013-06-10_W-S-Z+ 	 RXJ2129+00
2007-02-13_W-S-I+ 	 Z2089
2007-02-13_W-J-V 	 Z2089
2009-03-28_W-S-I+ 	 Z2089
2010-03-12_W-J-V 	 Z2701
2010-03-12_W-S-I+ 	 Z2701
2010-12-05_W-J-V 	 Z2089
2010-12-05_W-J-V 	 Z2701
2015-12-15_W-J-B 	 MACSJ0159.8-0849
2015-12-15_W-J-B 	 MACSJ0429.6-0253
2015-12-15_W-J-B 	 Z2089
2015-12-15_W-J-B 	 Z2701
2015-12-15_W-C-RC 	 Z2089
2015-12-15_W-C-RC 	 Z2701
2015-12-15_W-S-Z+ 	 MACSJ0159.8-0849
2015-12-15_W-S-Z+ 	 MACSJ0429.6-0253
2015-12-15_W-S-Z+ 	 Z2089
