pprun               object            ra            dec          catalog
2009-03-28_W-S-I+   A2204             248.19666667  5.57555556   PANSTARRS
2009-09-19_W-J-V    A2204             248.19666667  5.57555556   PANSTARRS
2009-04-29_W-S-Z+   MACSJ1115+01      168.96708333  1.49805556   SDSS
2009-04-29_W-J-B    MACSJ1115+01      168.96708333  1.49805556   SDSS
2010-03-12_W-J-B    MACSJ1115+01      168.96708333  1.49805556   SDSS
2010-03-12_W-S-Z+   MACSJ1115+01      168.96708333  1.49805556   SDSS
2010-03-12_W-C-RC   MACSJ1115+01      168.96708333  1.49805556   SDSS
2010-11-04_W-J-B*   RXJ2129+00        322.41625000  0.08888889   SDSS
2010-11-04_W-S-Z+*  RXJ2129+00        322.41625000  0.08888889   SDSS
2012-07-23_W-C-RC   RXJ2129+00        322.41625000  0.08888889   SDSS
2013-06-10_W-S-Z+   RXJ2129+00        322.41625000  0.08888889   SDSS
2007-02-13_W-S-I+   Z2089             135.19125000  20.92027778  SDSS
2007-02-13_W-J-V    Z2089             135.19125000  20.92027778  SDSS
2009-03-28_W-S-I+   Z2089             135.19125000  20.92027778  SDSS
2010-03-12_W-J-V    Z2701             148.20500     51.88472     SDSS
2010-03-12_W-S-I+   Z2701             148.20500     51.88472     SDSS
2010-12-05_W-J-V    Z2089             135.19125000  20.92027778  SDSS
2010-12-05_W-J-V    Z2701             148.20500     51.88472     SDSS
2015-12-15_W-J-B    MACSJ0159.8-0849  29.95583333   -8.83277778  SDSS
2015-12-15_W-J-B    MACSJ0429.6-0253  67.40041667   -2.88555556  PANSTARRS
2015-12-15_W-J-B    Z2089             135.19125000  20.92027778  SDSS
2015-12-15_W-J-B    Z2701             148.20500     51.88472     SDSS
2015-12-15_W-C-RC   Z2089             135.19125000  20.92027778  SDSS
2015-12-15_W-C-RC   Z2701             148.20500     51.88472     SDSS
2015-12-15_W-S-Z+   MACSJ0159.8-0849  29.95583333   -8.83277778  SDSS
2015-12-15_W-S-Z+   MACSJ0429.6-0253  67.40041667   -2.88555556  PANSTARRS
2015-12-15_W-S-Z+   Z2089             135.19125000  20.92027778  SDSS
