# ra dec z d2d_arcsec
186.77237 21.70556 0.4333 0.26104205349967824
186.48139 21.76597 0.0687 0.008947056874104253
186.49941 21.91767 0.3473 0.00894337736905679
186.50339 21.85059 0.4368 0.006856613752593895
186.53445 21.86228 0.1867 0.013999999993017188
186.56636 21.71551 0.0732 0.008948276286300908
186.60148 21.94249 -0.0004 0.004872709603129136
186.64402 21.83247 0.1283 0.0048739361187431635
186.64494 21.87187 0.0001 0.015066648912898106
186.66169 21.88964 0.4343 0.0055674219765888735
186.70491 21.83401 0.4312 0.005569591522261699
186.71115 22.06796 0.0735 0.007000000002233589
186.73095 21.67766 0.2117 0.0110000000002385
186.75047 21.94926 0.4363 0.011346477810636683
186.76448 21.89416 0.4402 0.01427405189722457
186.79781 21.79366 -0.0002 0.008946387049890344
186.80104 22.04375 0.0 0.015064162923367496
186.85416 21.81238 -0.0 0.012330033720676778
186.87699 22.02852 0.3224 0.01232621832084712
186.91944 22.07749 0.0321 0.008939476871438534
186.95475 22.10509 0.0664 0.00400000000945491
186.96054 22.10658 0.6947 0.015063250217187435
186.96762 22.07388 0.0658 0.01134587835813269
