name             ra            dec            g     gerr r     rerr i     ierr z       zerr
J122643.4+215225 12h26m43.425s +21d52m25.193s 22.57 0.03 20.42 0.03 20.14 0.03 0.43680 0.00050
J122643.2+215242 12h26m43.293s +21d52m42.593s 22.61 0.03 20.70 0.03 20.45 0.03 0.40070 0.00040
J122643.1+215300 12h26m43.162s +21d53m00.858s 22.05 0.03 20.30 0.03 20.05 0.03 0.42490 0.00070
J122643.9+215213 12h26m43.916s +21d52m13.891s 23.09 0.03 21.14 0.03 20.87 0.03 0.43200 0.00060
J122644.7+215209 12h26m44.799s +21d52m09.517s 22.80 0.03 21.25 0.03 21.07 0.03 0.43190 0.00080
J122645.1+215249 12h26m45.150s +21d52m49.631s 22.16 0.03 19.99 0.03 19.72 0.03 0.42790 0.00050
J122646.2+215125 12h26m46.234s +21d51m25.201s 21.91 0.03 19.94 0.03 19.62 0.03 0.43460 0.00010
J122645.9+215346 12h26m45.919s +21d53m46.300s 23.38 0.03 21.06 0.03 20.31 0.03 0.43390 0.00010
J122647.9+215058 12h26m47.988s +21d50m58.710s 22.80 0.03 20.66 0.03 20.34 0.03 0.43750 0.00070
J122646.7+215246 12h26m46.769s +21d52m46.727s 22.48 0.03 20.48 0.03 20.19 0.03 0.43850 0.00040
J122647.4+215207 12h26m47.498s +21d52m07.032s 24.03 0.04 21.92 0.03 21.62 0.03 0.43330 0.00010
J122647.1+215309 12h26m47.113s +21d53m09.860s 23.12 0.03 21.08 0.03 20.83 0.03 0.43860 0.00050
J122648.4+215131 12h26m48.435s +21d51m31.937s 22.39 0.03 20.31 0.03 19.97 0.03 0.43280 0.00050
J122647.1+215338 12h26m47.175s +21d53m38.431s 22.12 0.03 20.86 0.03 20.74 0.03 0.44730 0.00050
J122648.5+215207 12h26m48.578s +21d52m07.121s 23.52 0.03 21.34 0.03 21.03 0.03 0.43260 0.00020
J122648.1+215254 12h26m48.182s +21d52m54.211s 22.07 0.03 20.03 0.03 19.68 0.03 0.42920 0.00070
J122648.4+215322 12h26m48.486s +21d53m22.892s 21.84 0.03 19.79 0.03 19.48 0.03 0.43280 0.00010
J122649.7+215128 12h26m49.786s +21d51m28.738s 22.57 0.03 20.39 0.03 20.10 0.03 0.43360 0.00030
J122650.4+215054 12h26m50.427s +21d50m54.762s 24.06 0.04 22.23 0.03 21.97 0.03 0.43030 0.00090
J122650.0+215142 12h26m50.013s +21d51m42.807s 21.40 0.03 19.67 0.03 19.47 0.03 0.42720 0.00050
J122651.2+215112 12h26m51.211s +21d51m12.141s 21.52 0.03 19.97 0.03 19.71 0.03 0.43190 0.00030
J122650.3+215257 12h26m50.310s +21d52m57.727s 21.74 0.03 19.98 0.03 19.76 0.03 0.43920 0.00030
J122652.1+215058 12h26m52.156s +21d50m58.257s 23.04 0.03 21.02 0.03 20.73 0.03 0.43170 0.00060
J122652.2+215047 12h26m52.280s +21d50m47.607s 22.91 0.03 20.88 0.03 20.56 0.03 0.43570 0.00020
J122650.3+215345 12h26m50.350s +21d53m45.339s 22.23 0.03 20.11 0.03 19.80 0.03 0.43790 0.00010
J122651.2+215253 12h26m51.215s +21d52m53.003s 21.50 0.03 19.36 0.03 19.04 0.03 0.43630 0.00110
J122651.0+215334 12h26m51.072s +21d53m34.867s 23.12 0.03 20.09 0.03 19.94 0.03 0.44220 0.00030
J122652.3+215145 12h26m52.339s +21d51m45.663s 22.35 0.03 20.28 0.03 19.99 0.03 0.43840 0.00010
J122652.5+215134 12h26m52.551s +21d51m34.368s 23.69 0.03 21.59 0.03 21.32 0.03 0.43320 0.00030
J122652.4+215201 12h26m52.460s +21d52m01.841s 23.53 0.04 21.07 0.03 20.16 0.03 0.44390 0.00020
J122651.7+215341 12h26m51.779s +21d53m41.288s 22.70 0.03 20.53 0.03 20.09 0.03 0.44160 0.00060
J122654.6+215141 12h26m54.675s +21d51m41.949s 23.42 0.03 21.28 0.03 20.98 0.03 0.43360 0.00030
J122643.4+214953 12h26m43.422s +21d49m53.081s 21.93 0.03 19.82 0.03 19.49 0.03 0.45892 0.00026
J122643.9+214923 12h26m43.993s +21d49m23.109s 22.88 0.03 22.00 0.03 22.05 0.03 0.44086 0.00014
J122644.1+215018 12h26m44.176s +21d50m18.123s 22.14 0.03 20.37 0.03 20.13 0.03 0.45771 0.00042
J122645.1+214949 12h26m45.139s +21d49m49.490s 22.46 0.03 20.40 0.03 20.13 0.03 0.45823 0.00059
J122644.9+215040 12h26m44.938s +21d50m40.061s 21.92 0.03 19.73 0.03 19.39 0.03 0.43877 0.00020
J122645.4+215025 12h26m45.469s +21d50m25.223s 22.45 0.03 21.12 0.03 21.11 0.03 0.46981 0.00039
J122647.2+214909 12h26m47.223s +21d49m09.589s 21.22 0.03 19.77 0.03 19.57 0.03 0.43302 0.00013
J122647.1+214948 12h26m47.117s +21d49m48.329s 21.88 0.03 19.75 0.03 19.45 0.03 0.43329 0.00025
J122647.6+215005 12h26m47.688s +21d50m05.688s 23.17 0.03 21.12 0.03 20.84 0.03 0.43739 0.00010
J122648.9+214846 12h26m48.977s +21d48m46.868s 23.65 0.03 21.63 0.03 21.27 0.03 0.44325 0.00116
J122648.0+215045 12h26m48.003s +21d50m45.822s 23.01 0.03 20.95 0.03 20.58 0.03 0.45976 0.00110
J122649.2+214938 12h26m49.259s +21d49m38.462s 23.71 0.03 21.49 0.03 21.17 0.03 0.44486 0.00190
