Cluster        Label RA         DEC           z      Class
SDSSJ1226+2152 A1  12:26:51.691 +21:52:14.489 2.9233 2
SDSSJ1226+2152 A2  12:26:51.375 +21:52:14.310 2.9233 2
SDSSJ1226+2152 B1  12:26:51.962 +21:52:34.978 1.3358 2
SDSSJ1226+2152 C1  12:26:54.341 +21:52:23.134 0.7278 2
SDSSJ1226+2152 D1  12:26:51.313 +21:52:17.325 0.7718 3
SDSSJ1226+2152 E1  12:26:52.079 +21:52:24.424 0.7323 3
SDSSJ1226+2152 gal 12:26:48.155 +21:52:53.415 0.4304 3
SDSSJ1226+2152 gal 12:26:48.453 +21:53:22.110 0.4328 3
SDSSJ1226+2152 gal 12:26:49.322 +21:53:19.844 0.4315 3
SDSSJ1226+2152 gal 12:26:51.183 +21:51:11.358 0.4330 3
SDSSJ1226+2152 gal 12:26:50.489 +21:52:53.991 0.4407 3
SDSSJ1226+2152 gal 12:26:50.991 +21:52:26.635 0.4321 3
SDSSJ1226+2152 gal 12:26:51.749 +21:52:24.974 0.4375 3
SDSSJ1226+2152 gal 12:26:52.312 +21:51:44.874 0.4388 3
SDSSJ1226+2152 gal 12:26:52.920 +21:52:31.456 0.4338 3
SDSSJ1226+2152 gal 12:26:54.595 +21:52:35.672 0.4384 3
SDSSJ1226+2152 gal 12:26:50.915 +21:52:28.064 0.4375 3
SDSSJ1226+2149 A1  12:26:50.153 +21:50:07.768 1.6045 3
SDSSJ1226+2149 A2  12:26:50.445 +21:50:10.432 1.6045 3
SDSSJ1226+2149 B1  12:26:52.014 +21:49:57.084 0.8011 3
SDSSJ1226+2149 B2  12:26:51.924 +21:50:00.105 0.8014 3
SDSSJ1226+2149 C1  12:26:52.439 +21:50:14.614 0.9134 2
SDSSJ1226+2149 D1  12:26:51.564 +21:50:17.828 1.1353 3
SDSSJ1226+2149 E1  12:26:51.506 +21:49:32.385 ...... 0
SDSSJ1226+2149 F1  12:26:52.086 +21:49:31.122 ...... 0
SDSSJ1226+2149 gal 12:26:50.088 +21:50:29.734 0.4395 3
SDSSJ1226+2149 gal 12:26:51.523 +21:48:55.265 0.4399 3
SDSSJ1226+2149 gal 12:26:50.939 +21:49:55.745 0.4385 3
SDSSJ1226+2149 gal 12:26:51.736 +21:49:42.568 0.4326 3
SDSSJ1226+2149 gal 12:26:52.278 +21:49:52.003 0.4348 3
SDSSJ1226+2149 gal 12:26:48.069 +21:50:22.325 0.4339 3
SDSSJ1226+2149 gal 12:26:52.261 +21:50:47.298 0.4362 3
SDSSJ1226+2149 gal 12:26:49.078 +21:49:59.529 0.4310 3
SDSSJ1226+2149 gal 12:26:49.535 +21:50:06.519 0.4362 3
SDSSJ1226+2149 gal 12:26:57.569 +21:49:49.661 0.4336 3
SDSSJ1226+2149 gal 12:26:54.410 +21:49:00.264 0.4352 3
