FRAMEID       DATE_OBS    OBS_MODE    DATA_TYPE  OBJECT           FILTER  WVLEN  ECLLONG    ECLLAT     OBSERVER        EXP_ID        PSF_SIGMA  PSF_ELLIP  
SUPA01514620  2015-02-16  IMAG_5_VGW  OBJECT     ULAS_J1120+0641  W-S-Z+   ----  168.40333    2.19637  Ota             SUPE01514620       0.87      0.159
SUPA01514630  2015-02-16  IMAG_5_VGW  OBJECT     ULAS_J1120+0641  W-S-Z+   ----  168.41742    2.18433  Ota             SUPE01514630       0.78      0.059
SUPA01514640  2015-02-16  IMAG_5_VGW  OBJECT     ULAS_J1120+0641  W-S-Z+   ----  168.40323    2.19648  Ota             SUPE01514640       0.80      0.058
SUPA01514650  2015-02-16  IMAG_5_VGW  OBJECT     ULAS_J1120+0641  W-S-Z+   ----  168.41744    2.18432  Ota             SUPE01514650       0.81      0.033
SUPA01514660  2015-02-16  IMAG_5_VGW  OBJECT     ULAS_J1120+0641  W-S-Z+   ----  168.41526    2.21065  Ota             SUPE01514660       0.78      0.061
SUPA01514670  2015-02-16  IMAG_5_VGW  OBJECT     ULAS_J1120+0641  W-S-Z+   ----  168.38907    2.20839  Ota             SUPE01514670       0.94      0.059
SUPA01514680  2015-02-16  IMAG_5_VGW  OBJECT     ULAS_J1120+0641  W-S-Z+   ----  168.39119    2.18207  Ota             SUPE01514680       0.72      0.021
SUPA01514690  2015-02-16  IMAG_5_VGW  OBJECT     ULAS_J1120+0641  W-S-Z+   ----  168.40555    2.19428  Ota             SUPE01514690       0.69      0.045
SUPA01514700  2015-02-16  IMAG_5_VGW  OBJECT     ULAS_J1120+0641  W-S-Z+   ----  168.41987    2.18227  Ota             SUPE01514700       0.80      0.053
SUPA01514710  2015-02-16  IMAG_5_VGW  OBJECT     ULAS_J1120+0641  W-S-Z+   ----  168.41766    2.20856  Ota             SUPE01514710       0.78      0.043
SUPA01514720  2015-02-16  IMAG_5_VGW  OBJECT     ULAS_J1120+0641  W-S-Z+   ----  168.39137    2.20638  Ota             SUPE01514720       0.79      0.029
SUPA01514730  2015-02-16  IMAG_5_VGW  OBJECT     ULAS_J1120+0641  W-S-Z+   ----  168.39361    2.18009  Ota             SUPE01514730       0.79      0.060
SUPA01514740  2015-02-16  IMAG_5_VGW  OBJECT     ULAS_J1120+0641  W-S-Z+   ----  168.40091    2.19832  Ota             SUPE01514740       0.78      0.051
SUPA01514750  2015-02-16  IMAG_5_VGW  OBJECT     ULAS_J1120+0641  W-S-Z+   ----  168.41514    2.18618  Ota             SUPE01514750       0.85      0.018
SUPA01514760  2015-02-16  IMAG_5_VGW  OBJECT     ULAS_J1120+0641  W-S-Z+   ----  168.41295    2.21252  Ota             SUPE01514760       0.70      0.046
SUPA01514770  2015-02-16  IMAG_5_VGW  OBJECT     ULAS_J1120+0641  W-S-Z+   ----  168.38673    2.21036  Ota             SUPE01514770       0.67      0.029
SUPA01514780  2015-02-16  IMAG_5_VGW  OBJECT     ULAS_J1120+0641  W-S-Z+   ----  168.38890    2.18397  Ota             SUPE01514780       0.73      0.099
SUPA01514790  2015-02-16  IMAG_5_VGW  OBJECT     ULAS_J1120+0641  W-S-Z+   ----  168.40639    2.19603  Ota             SUPE01514790       0.74      0.043
SUPA01514800  2015-02-16  IMAG_5_VGW  OBJECT     ULAS_J1120+0641  W-S-Z+   ----  168.42066    2.18400  Ota             SUPE01514800       0.72      0.059
SUPA01514810  2015-02-16  IMAG_5_VGW  OBJECT     ULAS_J1120+0641  W-S-Z+   ----  168.41849    2.21028  Ota             SUPE01514810       0.74      0.108
SUPA01514820  2015-02-16  IMAG_5_VGW  OBJECT     ULAS_J1120+0641  W-S-Z+   ----  168.39221    2.20816  Ota             SUPE01514820       1.09      0.076
SUPA01514830  2015-02-16  IMAG_5_VGW  OBJECT     ULAS_J1120+0641  W-S-Z+   ----  168.39442    2.18183  Ota             SUPE01514830       0.91      0.093
SUPA01514840  2015-02-16  IMAG_5_VGW  OBJECT     ULAS_J1120+0641  W-S-Z+   ----  168.40027    2.19647  Ota             SUPE01514840       0.82      0.037
SUPA01514850  2015-02-16  IMAG_5_VGW  OBJECT     ULAS_J1120+0641  W-S-Z+   ----  168.41451    2.18440  Ota             SUPE01514850       0.74      0.064
SUPA01514860  2015-02-16  IMAG_5_VGW  OBJECT     ULAS_J1120+0641  W-S-Z+   ----  168.41232    2.21066  Ota             SUPE01514860       0.83      0.091
SUPA01514870  2015-02-16  IMAG_5_VGW  OBJECT     ULAS_J1120+0641  W-S-Z+   ----  168.38601    2.20839  Ota             SUPE01514870       0.77      0.052
SUPA01514880  2015-02-16  IMAG_5_VGW  OBJECT     ULAS_J1120+0641  W-S-Z+   ----  168.38813    2.18204  Ota             SUPE01514880       0.82      0.067
SUPA01517480  2015-04-15  IMAG_N      OBJECT     Ursa_Major_II    W-S-I+   ----  115.26423   43.38988  Tajitsu         SUPE01517480       1.80      0.059
SUPA01517490  2015-04-15  IMAG_N      OBJECT     Ursa_Major_II    W-S-I+   ----  115.25259   43.39584  Tajitsu         SUPE01517490       1.61      0.047
SUPA01517500  2015-04-15  IMAG_N      OBJECT     Ursa_Major_II    W-S-I+   ----  115.23843   43.39564  Tajitsu         SUPE01517500       1.26      0.054
SUPA01517510  2015-04-15  IMAG_N      OBJECT     Ursa_Major_II    W-S-I+   ----  115.22707   43.38946  Tajitsu         SUPE01517510       1.21      0.051
SUPA01517520  2015-04-15  IMAG_N      OBJECT     Ursa_Major_II    W-S-I+   ----  115.22294   43.37963  Tajitsu         SUPE01517520       1.15      0.067
SUPA01517530  2015-04-15  IMAG_N      OBJECT     Ursa_Major_II    W-S-I+   ----  115.22748   43.36989  Tajitsu         SUPE01517530       1.09      0.093
SUPA01517540  2015-04-15  IMAG_N      OBJECT     Ursa_Major_II    W-S-I+   ----  115.23910   43.36392  Tajitsu         SUPE01517540       1.51      0.025
SUPA01517550  2015-04-15  IMAG_N      OBJECT     Ursa_Major_II    W-S-I+   ----  115.25330   43.36410  Tajitsu         SUPE01517550       1.12      0.056
SUPA01517560  2015-04-15  IMAG_N      OBJECT     Ursa_Major_II    W-S-I+   ----  115.26458   43.37030  Tajitsu         SUPE01517560       0.87      0.105
SUPA01517570  2015-04-15  IMAG_N      OBJECT     Ursa_Major_II    W-S-I+   ----  115.26878   43.38014  Tajitsu         SUPE01517570       0.78      0.080
SUPA01517600  2015-04-15  IMAG_N      OBJECT     Ursa_Major_II    W-S-I+   ----  115.26523   43.39168  Tajitsu         SUPE01517600       1.25      0.418
SUPA01517610  2015-04-15  IMAG_N      OBJECT     Ursa_Major_II    W-S-I+   ----  115.25363   43.39760  Tajitsu         SUPE01517610       1.20      0.521
SUPA01517620  2015-04-15  IMAG_N      OBJECT     Ursa_Major_II    W-S-I+   ----  115.23947   43.39745  Tajitsu         SUPE01517620       1.52      0.460
SUPA01517630  2015-04-15  IMAG_N      OBJECT     Ursa_Major_II    W-S-I+   ----  115.22817   43.39128  Tajitsu         SUPE01517630       1.81      0.356
SUPA01517640  2015-04-15  IMAG_N      OBJECT     Ursa_Major_II    W-S-I+   ----  115.22399   43.38144  Tajitsu         SUPE01517640       1.56      0.521
SUPA01517650  2015-04-15  IMAG_N      OBJECT     Ursa_Major_II    W-S-I+   ----  115.22854   43.37168  Tajitsu         SUPE01517650       ----       ----
SUPA01517660  2015-04-15  IMAG_N      OBJECT     Ursa_Major_II    W-S-I+   ----  115.24020   43.36579  Tajitsu         SUPE01517660       1.19      0.462
SUPA01517670  2015-04-15  IMAG_N      OBJECT     Ursa_Major_II    W-S-I+   ----  115.25434   43.36593  Tajitsu         SUPE01517670       ----       ----
SUPA01517680  2015-04-15  IMAG_N      OBJECT     Ursa_Major_II    W-S-I+   ----  115.26566   43.37210  Tajitsu         SUPE01517680       1.35      0.501
SUPA01517690  2015-04-15  IMAG_N      OBJECT     Ursa_Major_II    W-S-I+   ----  115.26987   43.38197  Tajitsu         SUPE01517690       ----       ----
SUPA01517700  2015-04-15  IMAG_N      OBJECT     Ursa_Major_II    W-S-I+   ----  115.26527   43.39170  Tajitsu         SUPE01517700       1.49      0.049
SUPA01517710  2015-04-15  IMAG_N      OBJECT     Ursa_Major_II    W-S-I+   ----  115.25364   43.39760  Tajitsu         SUPE01517710       ----       ----
SUPA01517720  2015-04-15  IMAG_N      OBJECT     Ursa_Major_II    W-S-I+   ----  115.23946   43.39743  Tajitsu         SUPE01517720       ----       ----
SUPA01517730  2015-04-15  IMAG_N      OBJECT     Ursa_Major_II    W-S-I+   ----  115.22814   43.39126  Tajitsu         SUPE01517730       1.18      0.047
SUPA01517740  2015-04-15  IMAG_N      OBJECT     Ursa_Major_II    W-S-I+   ----  115.22399   43.38143  Tajitsu         SUPE01517740       1.20      0.038
SUPA01517750  2015-04-15  IMAG_N      OBJECT     Ursa_Major_II    W-S-I+   ----  115.22856   43.37167  Tajitsu         SUPE01517750       1.28      0.048
SUPA01517760  2015-04-15  IMAG_N      OBJECT     Ursa_Major_II    W-S-I+   ----  115.24015   43.36577  Tajitsu         SUPE01517760       2.08      0.034
SUPA01517770  2015-04-15  IMAG_N      OBJECT     Ursa_Major_II    W-S-I+   ----  115.25433   43.36593  Tajitsu         SUPE01517770       1.74      0.433
SUPA01517780  2015-04-15  IMAG_N      OBJECT     Ursa_Major_II    W-S-I+   ----  115.26565   43.37208  Tajitsu         SUPE01517780       ----       ----
SUPA01517790  2015-04-15  IMAG_N      OBJECT     Ursa_Major_II    W-S-I+   ----  115.26984   43.38195  Tajitsu         SUPE01517790       1.81      0.576
SUPA01518270  2015-04-15  IMAG_N      OBJECT     53W002           W-S-I+   ----  245.03077   72.70839  Tajitsu         SUPE01518270       1.51      0.035
SUPA01518280  2015-04-15  IMAG_N      OBJECT     53W002           W-S-I+   ----  244.98208   72.71662  Tajitsu         SUPE01518280       1.36      0.043
SUPA01518290  2015-04-15  IMAG_N      OBJECT     53W002           W-S-I+   ----  244.93384   72.70821  Tajitsu         SUPE01518290       1.68      0.025
SUPA01518300  2015-04-15  IMAG_N      OBJECT     53W002           W-S-I+   ----  244.93410   72.69155  Tajitsu         SUPE01518300       1.55      0.050
SUPA01518310  2015-04-15  IMAG_N      OBJECT     53W002           W-S-I+   ----  244.98293   72.68327  Tajitsu         SUPE01518310       1.17      0.059
SUPA01518320  2015-04-15  IMAG_N      OBJECT     53W002           W-S-I+   ----  245.03113   72.69174  Tajitsu         SUPE01518320       1.04      0.022
SUPA01518330  2015-04-15  IMAG_N      OBJECT     53W002           W-S-I+   ----  245.03406   72.71007  Tajitsu         SUPE01518330       0.99      0.041
SUPA01518340  2015-04-15  IMAG_N      OBJECT     53W002           W-S-I+   ----  244.98544   72.71833  Tajitsu         SUPE01518340       0.98      0.035
SUPA01518350  2015-04-15  IMAG_N      OBJECT     53W002           W-S-I+   ----  244.93700   72.70990  Tajitsu         SUPE01518350       0.94      0.082
SUPA01518360  2015-04-15  IMAG_N      OBJECT     53W002           W-S-I+   ----  244.93739   72.69323  Tajitsu         SUPE01518360       0.93      0.051
SUPA01518370  2015-04-15  IMAG_N      OBJECT     53W002           W-S-I+   ----  244.98610   72.68500  Tajitsu         SUPE01518370       0.92      0.035
SUPA01518380  2015-04-15  IMAG_N      OBJECT     53W002           W-S-I+   ----  245.03451   72.69344  Tajitsu         SUPE01518380       1.03      0.022
SUPA01518390  2015-04-15  IMAG_N      OBJECT     53W002           W-S-I+   ----  245.02751   72.70667  Tajitsu         SUPE01518390       0.91      0.034
SUPA01518400  2015-04-15  IMAG_N      OBJECT     53W002           W-S-I+   ----  244.97887   72.71493  Tajitsu         SUPE01518400       0.98      0.032
SUPA01518410  2015-04-15  IMAG_N      OBJECT     53W002           W-S-I+   ----  244.93058   72.70650  Tajitsu         SUPE01518410       1.03      0.059
SUPA01522490  2015-04-19  IMAG_5_VGW  OBJECT     FRB150418        W-S-I+   ----  114.40058  -40.88482  Terai, Tajitsu  SUPE01522490       1.24      0.280
SUPA01522500  2015-04-19  IMAG_5_VGW  OBJECT     FRB150418        W-S-I+   ----  114.42984  -40.91481  Terai, Tajitsu  SUPE01522500       1.19      0.273
SUPA01522510  2015-04-19  IMAG_5_VGW  OBJECT     FRB150418        W-S-I+   ----  114.44017  -40.86270  Terai, Tajitsu  SUPE01522510       1.15      0.267
