No   Object_Name                  RA_deg       DEC_deg     Type    Redshift  Qual  Magnitude_Filter  Distance_arcmin
01   BHG2011_J122650.93+214955.7  12h26m50.9s  +21d49m56s  G       0.438500  0     ...               0.027
02   2MASX-J12265107+2149524      12h26m51.1s  +21d49m52s  G       0.422000  PHOT  20.0g             0.047
06   SDSS-J122651.73+214942.6     12h26m51.7s  +21d49m43s  G       0.432600  0     22.9g             0.262
07   SDSS-J122652.28+214951.8     12h26m52.3s  +21d49m52s  G       0.434800  0     23.4g             0.292
10   SDSS-J122649.59+215007.4     12h26m49.6s  +21d50m07s  G       0.436200  0     22.8g             0.396
12   SDSS-J122649.17+215002.4     12h26m49.2s  +21d50m02s  G       0.434000  PHOT  20.7g             0.450
15   BHG2011_J122649.07+214959.5  12h26m49.1s  +21d50m00s  G       0.431000  0     ...               0.462
16   SDSS-J122650.09+215029.7     12h26m50.1s  +21d50m30s  G       0.439500  0     23.2g             0.620
17   SDSS-J122648.06+215022.3     12h26m48.1s  +21d50m22s  G       0.433900  0     22.4g             0.827
18   SDSS-J122652.25+215047.3     12h26m52.2s  +21d50m47s  G       0.436200  0     22.6g             0.917
20   SDSS-J122651.53+214855.7     12h26m51.5s  +21d48m56s  G       0.439900  0     22.7g             0.994
21   SDSS-J122654.41+214900.3     12h26m54.4s  +21d49m00s  G       0.435200  0     22.6g             1.200
23   SDSS-J122651.19+215111.8     12h26m51.2s  +21d51m12s  G       0.433000  0     21.7g             1.281
24   SDSS-J122657.57+214949.7     12h26m57.6s  +21d49m50s  G       0.433600  0     24.0g             1.519
25   SDSS-J122652.31+215145.3     12h26m52.3s  +21d51m45s  G       0.438800  0     21.9g             1.862
30   SDSS-J1226+2152-ARC          12h26m51.3s  +21d52m20s  G_Lens  2.923300  0     ...               2.422
32   SDSS-J1226+2152_FG           12h26m51.7s  +21d52m25s  G       0.437500  0     20.8g             2.513
34   SDSS-J122650.99+215226.8     12h26m51.0s  +21d52m27s  G       0.432100  0     22.5g             2.531
35   SDSS-J122650.91+215228.4     12h26m50.9s  +21d52m28s  G       0.437500  0     23.2g             2.559
37   SDSS-J122652.92+215231.8     12h26m52.9s  +21d52m32s  G       0.433800  0     21.5g             2.652
39   BHG2011_J122654.59+215235.6  12h26m54.6s  +21d52m36s  G       0.438400  0     ...               2.802
40   SDSS-J122650.49+215254.4     12h26m50.5s  +21d52m54s  G       0.440700  0     22.9g             2.994
41   SDSS-J122648.15+215253.8     12h26m48.1s  +21d52m54s  G       0.430400  0     22.4g             3.056
42   SDSS-J122649.32+215320.1     12h26m49.3s  +21d53m20s  G       0.431500  0     23.1g             3.443
43   SDSS-J122648.45+215322.3     12h26m48.4s  +21d53m22s  G       0.432800  0     22.2g             3.508
44   SDSS-J122634.55+214956.8     12h26m34.5s  +21d49m57s  G       0.128312  0     19.1g             3.824
45   SDSS-J122638.79+215322.6     12h26m38.8s  +21d53m23s  G       0.437000  PHOT  21.4g             4.478
47   SDSS-J122703.47+215338.9     12h27m03.5s  +21d53m39s  G       0.374000  PHOT  ...               4.717
55   SDSS-J122625.81+215527.2     12h26m25.8s  +21d55m27s  G       0.406000  PHOT  21.3g             8.057
61   SDSS-J122655.42+214039.5     12h26m55.4s  +21d40m40s  G       0.211802  0     18.3g             9.313
64   SDSS-J122608.26+215144.1     12h26m08.3s  +21d51m44s  G       0.186682  0     18.1g             10.091
66   SDSS-J122735.08+215244.7     12h27m35.1s  +21d52m45s  VisS    2.875000  PHOT  21.1g             10.603
67   2MASX-J12261592+2142558      12h26m15.9s  +21d42m56s  G       0.073239  0     18.03             10.736
74   SDSS-J122555.52+214557.4     12h25m55.5s  +21d45m57s  G       0.068692  0     18.1g             13.480
77   SDSS-J122720.69+213807.2     12h27m20.7s  +21d38m07s  G       0.117238  0     18.5g             13.659
80   SDSS-J122650.67+220404.6     12h26m50.7s  +22d04m05s  G       0.073498  0     18.0g             14.161
81   2MASX-J12271052+2136206      12h27m10.5s  +21d36m21s  G       0.091294  0     18.2g             14.311
83   SDSS-J122721.36+220224.5     12h27m21.3s  +22d02m25s  G       0.416000  PHOT  22.2g             14.337
87   SDSS-J122728.72+213755.3     12h27m28.7s  +21d37m55s  G       0.139879  0     18.4g             14.847
89   SDSS-J122730.47+220142.6     12h27m30.5s  +22d01m43s  G       0.345000  PHOT  ...               14.924
93   SDSS-J122637.54+213447.1     12h26m37.5s  +21d34m47s  QSO     1.898500  0     19.8g             15.452
