PPRUN             IMAGE        relZP      IDONTKNOW
W-J-B_2010-02-12  SUPA0118315  0.004909   5.530493e-03  
W-J-B_2010-02-12  SUPA0118316  0.009069   5.509346e-03  
W-J-B_2010-02-12  SUPA0118317  -0.000112  5.556126e-03  
W-J-B_2010-02-12  SUPA0118318  -0.006784  5.590377e-03  
W-J-B_2010-02-12  SUPA0118319  -0.008827  5.600907e-03  
W-J-B_2010-02-12  SUPA0118320  0.004546   5.532343e-03  
W-J-B_2010-02-12  SUPA0118321  0.001097   5.549945e-03  
W-J-B_2010-02-12  SUPA0118322  0.001354   5.548630e-03  
W-J-B_2010-02-12  SUPA0118323  -0.005252  5.582496e-03  
W-S-G+_2010-04-15 SUPA0121582  -0.196406  3.994305e-03  
W-S-G+_2010-04-15 SUPA0121583  0.293764   2.543158e-03  
W-S-G+_2010-04-15 SUPA0121584  0.123849   2.973987e-03  
W-S-G+_2010-04-15 SUPA0121585  -0.221207  4.086593e-03  
W-J-V_2010-02-12  SUPA0118325  -0.004903  2.790350e-03  
W-J-V_2010-02-12  SUPA0118326  -0.000743  2.779679e-03  
W-J-V_2010-02-12  SUPA0118327  0.006349   2.761582e-03  
W-J-V_2010-02-12  SUPA0118328  -0.002430  2.784001e-03  
W-J-V_2010-02-12  SUPA0118329  0.002637   2.771039e-03  
W-J-V_2010-02-12  SUPA0118330  -0.000911  2.780108e-03  
W-C-RC_2006-03-04 SUPA0046908  0.155175   1.805880e-03  
W-C-RC_2006-03-04 SUPA0046909  0.144880   1.823084e-03  
W-C-RC_2006-03-04 SUPA0046910  0.119568   1.866086e-03  
W-C-RC_2006-03-04 SUPA0046911  0.007848   2.068329e-03  
W-C-RC_2006-03-04 SUPA0046912  0.068759   3.741068e-03  
W-C-RC_2006-03-04 SUPA0046913  0.077768   1.939329e-03  
W-C-RC_2006-03-04 SUPA0046914  0.068389   1.956155e-03  
W-C-RC_2010-02-12 SUPA0118331  -0.099101  3.043251e-03  
W-C-RC_2010-02-12 SUPA0118332  -0.093502  3.027597e-03  
W-C-RC_2010-02-12 SUPA0118333  -0.099576  3.044584e-03  
W-C-RC_2010-02-12 SUPA0118334  -0.118480  3.098058e-03  
W-C-RC_2010-02-12 SUPA0118335  -0.117618  3.095600e-03  
W-C-RC_2010-02-12 SUPA0118336  -0.114111  3.085616e-03  
W-S-I+_2010-04-15 SUPA0121389  0.786173   2.019853e-03  
W-S-I+_2010-04-15 SUPA0121390  1.284558   1.276338e-03  
W-S-I+_2010-04-15 SUPA0121391  1.378266   1.170799e-03  
W-S-I+_2010-04-15 SUPA0121392  0.582543   2.436530e-03  
W-S-I+_2010-04-15 SUPA0121402  -0.385874  5.944813e-03  
W-S-I+_2010-04-15 SUPA0121403  -1.531711  1.707943e-02  
W-S-I+_2010-04-15 SUPA0121404  -0.798427  8.692795e-03  
W-S-I+_2010-04-15 SUPA0121405  -0.662885  7.672606e-03  
W-S-I+_2010-04-15 SUPA0121406  -0.002229  4.175231e-03  
W-S-I+_2010-04-15 SUPA0121407  -0.356724  5.787332e-03  
W-S-I+_2010-04-15 SUPA0121408  -1.027422  1.073390e-02  
W-S-I+_2010-04-15 SUPA0121409  0.039542   4.017649e-03  
W-S-I+_2010-04-15 SUPA0121410  0.258388   3.284230e-03  
W-S-I+_2010-04-15 SUPA0121411  -0.182534  4.929492e-03  
W-S-I+_2010-04-15 SUPA0121412  0.084437   3.854908e-03  
W-S-I+_2010-04-15 SUPA0121413  0.330735   3.072521e-03  
W-S-I+_2010-04-15 SUPA0121414  0.231590   3.366301e-03  
W-S-I+_2010-04-15 SUPA0121415  -0.028424  4.277188e-03  
W-C-IC_2010-02-12 SUPA0118297  -0.077167  5.964780e-03  
W-C-IC_2010-02-12 SUPA0118300  -0.085277  6.009501e-03  
W-C-IC_2010-02-12 SUPA0118301  -0.091612  6.044663e-03  
W-C-IC_2010-02-12 SUPA0118302  -0.093539  6.055402e-03  
W-C-IC_2010-02-12 SUPA0118303  -0.091713  6.045228e-03  
W-C-IC_2010-02-12 SUPA0118304  -0.093180  6.053401e-03  
W-C-IC_2010-02-12 SUPA0118305  -0.098028  6.080493e-03  
W-C-IC_2010-02-12 SUPA0118306  -0.094196  6.059067e-03  
W-C-IC_2010-02-12 SUPA0118307  -0.099720  6.089975e-03  
W-C-IC_2010-02-12 SUPA0118309  -0.109045  6.142503e-03  
W-C-IC_2011-01-06 SUPA0128329  0.118641   3.735358e-03  
W-C-IC_2011-01-06 SUPA0128330  0.106431   3.777605e-03  
W-C-IC_2011-01-06 SUPA0128331  0.103949   3.786250e-03  
W-C-IC_2011-01-06 SUPA0128333  0.101132   3.796085e-03  
W-C-IC_2011-01-06 SUPA0128334  0.097075   3.810297e-03  
W-C-IC_2011-01-06 SUPA0128335  0.098908   3.803868e-03  
W-C-IC_2011-01-06 SUPA0128336  0.107010   3.775591e-03  
W-C-IC_2011-01-06 SUPA0128337  0.100417   3.798584e-03  
W-C-IC_2011-01-06 SUPA0128338  0.099914   3.800347e-03  
W-S-Z+_2011-01-06 SUPA0128341  -0.000582  4.168901e-03  
W-S-Z+_2011-01-06 SUPA0128342  -0.000402  4.168211e-03  
W-S-Z+_2011-01-06 SUPA0128343  -0.013917  4.220418e-03  
W-S-Z+_2011-01-06 SUPA0128345  0.002784   4.155998e-03  
W-S-Z+_2011-01-06 SUPA0128346  0.006610   4.141377e-03  
W-S-Z+_2011-01-06 SUPA0128347  0.005508   4.145583e-03  
