
sample_size-is-allNone		calc_illum-is-True	sample-is-None	try_linear-is-False
#3# NO MAIN2b: put SDSS match information in MATRIX (if sample=='sdss' or sample=='bootstrap')
#3#YES MAIN4a: MAKE FITS FILES of IC and IC_no_chip_zp and save fits (if calc_illum and "rand" not in sample_size)
#3# NO MAIN4b: MAKE nocorrected_data PLOTS with calcDataIllum (if sample != 'None' and "rand" not in sample_size)
#3# NO MAIN4c: MAKE corrected_data AND correction PLOTS with calcDataIllum (if calcIllum and sample != 'None' and "rand" not in sample_size)

sample_size-is-allsdsscorr	calc_illum-is-False	sample-is-sdss	try_linear-is-False
#4#YES MAIN2b: put SDSS match information in MATRIX (if sample=='sdss' or sample=='bootstrap')
#4# NO MAIN4a: MAKE FITS FILES of IC and IC_no_chip_zp and save fits (if calc_illum and "rand" not in sample_size)
#4#YES MAIN4b: MAKE nocorrected_data PLOTS with calcDataIllum (if sample != 'None' and "rand" not in sample_size)
#4# NO MAIN4c: MAKE corrected_data AND correction PLOTS with calcDataIllum (if calcIllum and sample != 'None' and "rand" not in sample_size)

sample_size-is-allsdssuncorr	calc_illum-is-False	sample-is-sdss	try_linear-is-False
#5#YES MAIN2b: put SDSS match information in MATRIX (if sample=='sdss' or sample=='bootstrap')
#5# NO MAIN4a: MAKE FITS FILES of IC and IC_no_chip_zp and save fits (if calc_illum and "rand" not in sample_size)
#5#YES MAIN4b: MAKE nocorrected_data PLOTS with calcDataIllum (if sample != 'None' and "rand" not in sample_size)
#5# NO MAIN4c: MAKE corrected_data AND correction PLOTS with calcDataIllum (if calcIllum and sample != 'None' and "rand" not in sample_size)

#5# is different from #4# in that it has "uncorr" in sample_size
#4# value=MAG_AUTO - epsilon_cheby_chip #4# uses fitvars from run #3
#4# value=MAG_AUTO - epsilon_cheby_chip #4# uses fitvars from run #3
#5 and 1-3# value=MAG_AUTO

1	sample_size-is-all__calc_illum-is-True__sample-is-sdss__try_linear-is-False		 MAIN1-START	SETUP THE MATRIX place all free parameters in columns for this particular run.
1	sample_size-is-all__calc_illum-is-True__sample-is-sdss__try_linear-is-False		 MAIN1-END	SETUP THE MATRIX place all free parameters in columns for this particular run.
1	sample_size-is-all__calc_illum-is-True__sample-is-sdss__try_linear-is-False		 MAIN2-START	FILL THE MATRIX WITH INFORMATION
1	sample_size-is-all__calc_illum-is-True__sample-is-sdss__try_linear-is-False		 MAIN2a-START	put M^exp_star info in MATRIX
1	sample_size-is-all__calc_illum-is-True__sample-is-sdss__try_linear-is-False		 MAIN2a-END	put M^exp_star info in MATRIX
1	sample_size-is-all__calc_illum-is-True__sample-is-sdss__try_linear-is-False		 MAIN2b-START	put SDSS match information in MATRIX (if sample=='sdss' or sample=='bootstrap')
1	sample_size-is-all__calc_illum-is-True__sample-is-sdss__try_linear-is-False		 MAIN2b-END	put SDSS match information in MATRIX (if sample=='sdss' or sample=='bootstrap')
1	sample_size-is-all__calc_illum-is-True__sample-is-sdss__try_linear-is-False		 MAIN2-END	FILL THE MATRIX WITH INFORMATION
1	sample_size-is-all__calc_illum-is-True__sample-is-sdss__try_linear-is-False		 MAIN3-START	DO FITTING
1	sample_size-is-all__calc_illum-is-True__sample-is-sdss__try_linear-is-False		 MAIN3-END	DO FITTING
1	sample_size-is-all__calc_illum-is-True__sample-is-sdss__try_linear-is-False		 MAIN4-START	SAVE CATALOGS/FITS/PLOTS
1	sample_size-is-all__calc_illum-is-True__sample-is-sdss__try_linear-is-False		 MAIN4a-START	MAKE FITS FILES of IC and IC_no_chip_zp and save fits (if calc_illum and "rand" not in sample_size)
1	sample_size-is-all__calc_illum-is-True__sample-is-sdss__try_linear-is-False		 MAIN4a-END	MAKE FITS FILES of IC and IC_no_chip_zp and save fits (if calc_illum and "rand" not in sample_size)
1	sample_size-is-all__calc_illum-is-True__sample-is-sdss__try_linear-is-False		 MAIN4b-START	MAKE nocorrected_data PLOTS with calcDataIllum (if sample != 'None' and "rand" not in sample_size)
1	sample_size-is-all__calc_illum-is-True__sample-is-sdss__try_linear-is-False		 MAIN4c-START	MAKE corrected_data AND correction PLOTS with calcDataIllum (if calcIllum and sample != 'None' and "rand" not in sample_size)
1	sample_size-is-all__calc_illum-is-True__sample-is-sdss__try_linear-is-False		 MAIN4c-END	MAKE corrected_data AND correction PLOTS with calcDataIllum (if calcIllum and sample != 'None' and "rand" not in sample_size)
1	sample_size-is-all__calc_illum-is-True__sample-is-sdss__try_linear-is-False		 MAIN4b-END	MAKE nocorrected_data PLOTS with calcDataIllum (if sample != 'None' and "rand" not in sample_size)
1	sample_size-is-all__calc_illum-is-True__sample-is-sdss__try_linear-is-False		 MAIN4-END	SAVE CATALOGS/FITS/PLOTS
2	sample_size-is-all__calc_illum-is-True__sample-is-sdss__try_linear-is-True		 MAIN1-START	SETUP THE MATRIX place all free parameters in columns for this particular run.
2	sample_size-is-all__calc_illum-is-True__sample-is-sdss__try_linear-is-True		 MAIN1-END	SETUP THE MATRIX place all free parameters in columns for this particular run.
2	sample_size-is-all__calc_illum-is-True__sample-is-sdss__try_linear-is-True		 MAIN2-START	FILL THE MATRIX WITH INFORMATION
2	sample_size-is-all__calc_illum-is-True__sample-is-sdss__try_linear-is-True		 MAIN2a-START	put M^exp_star info in MATRIX
2	sample_size-is-all__calc_illum-is-True__sample-is-sdss__try_linear-is-True		 MAIN2a-END	put M^exp_star info in MATRIX
2	sample_size-is-all__calc_illum-is-True__sample-is-sdss__try_linear-is-True		 MAIN2b-START	put SDSS match information in MATRIX (if sample=='sdss' or sample=='bootstrap')
2	sample_size-is-all__calc_illum-is-True__sample-is-sdss__try_linear-is-True		 MAIN2b-END	put SDSS match information in MATRIX (if sample=='sdss' or sample=='bootstrap')
2	sample_size-is-all__calc_illum-is-True__sample-is-sdss__try_linear-is-True		 MAIN2-END	FILL THE MATRIX WITH INFORMATION
2	sample_size-is-all__calc_illum-is-True__sample-is-sdss__try_linear-is-True		 MAIN3-START	DO FITTING
2	sample_size-is-all__calc_illum-is-True__sample-is-sdss__try_linear-is-True		 MAIN3-END	DO FITTING
2	sample_size-is-all__calc_illum-is-True__sample-is-sdss__try_linear-is-True		 MAIN4-START	SAVE CATALOGS/FITS/PLOTS
2	sample_size-is-all__calc_illum-is-True__sample-is-sdss__try_linear-is-True		 MAIN4a-START	MAKE FITS FILES of IC and IC_no_chip_zp and save fits (if calc_illum and "rand" not in sample_size)
2	sample_size-is-all__calc_illum-is-True__sample-is-sdss__try_linear-is-True		 MAIN4a-END	MAKE FITS FILES of IC and IC_no_chip_zp and save fits (if calc_illum and "rand" not in sample_size)
2	sample_size-is-all__calc_illum-is-True__sample-is-sdss__try_linear-is-True		 MAIN4b-START	MAKE nocorrected_data PLOTS with calcDataIllum (if sample != 'None' and "rand" not in sample_size)
2	sample_size-is-all__calc_illum-is-True__sample-is-sdss__try_linear-is-True		 MAIN4c-START	MAKE corrected_data AND correction PLOTS with calcDataIllum (if calcIllum and sample != 'None' and "rand" not in sample_size)
2	sample_size-is-all__calc_illum-is-True__sample-is-sdss__try_linear-is-True		 MAIN4c-END	MAKE corrected_data AND correction PLOTS with calcDataIllum (if calcIllum and sample != 'None' and "rand" not in sample_size)
2	sample_size-is-all__calc_illum-is-True__sample-is-sdss__try_linear-is-True		 MAIN4b-END	MAKE nocorrected_data PLOTS with calcDataIllum (if sample != 'None' and "rand" not in sample_size)
2	sample_size-is-all__calc_illum-is-True__sample-is-sdss__try_linear-is-True		 MAIN4-END	SAVE CATALOGS/FITS/PLOTS
3	sample_size-is-allNone__calc_illum-is-True__sample-is-None__try_linear-is-False 	 MAIN1-START	SETUP THE MATRIX place all free parameters in columns for this particular run.
3	sample_size-is-allNone__calc_illum-is-True__sample-is-None__try_linear-is-False 	 MAIN1-END	SETUP THE MATRIX place all free parameters in columns for this particular run.
3	sample_size-is-allNone__calc_illum-is-True__sample-is-None__try_linear-is-False 	 MAIN2-START	FILL THE MATRIX WITH INFORMATION
3	sample_size-is-allNone__calc_illum-is-True__sample-is-None__try_linear-is-False 	 MAIN2a-START	put M^exp_star info in MATRIX
3	sample_size-is-allNone__calc_illum-is-True__sample-is-None__try_linear-is-False 	 MAIN2a-END	put M^exp_star info in MATRIX
3	sample_size-is-allNone__calc_illum-is-True__sample-is-None__try_linear-is-False 	 MAIN2-END	FILL THE MATRIX WITH INFORMATION
3	sample_size-is-allNone__calc_illum-is-True__sample-is-None__try_linear-is-False 	 MAIN3-START	DO FITTING
3	sample_size-is-allNone__calc_illum-is-True__sample-is-None__try_linear-is-False 	 MAIN3-END	DO FITTING
3	sample_size-is-allNone__calc_illum-is-True__sample-is-None__try_linear-is-False 	 MAIN4-START	SAVE CATALOGS/FITS/PLOTS
3	sample_size-is-allNone__calc_illum-is-True__sample-is-None__try_linear-is-False 	 MAIN4a-START	MAKE FITS FILES of IC and IC_no_chip_zp and save fits (if calc_illum and "rand" not in sample_size)
3	sample_size-is-allNone__calc_illum-is-True__sample-is-None__try_linear-is-False 	 MAIN4a-END	MAKE FITS FILES of IC and IC_no_chip_zp and save fits (if calc_illum and "rand" not in sample_size)
3	sample_size-is-allNone__calc_illum-is-True__sample-is-None__try_linear-is-False 	 MAIN4-END	SAVE CATALOGS/FITS/PLOTS
4	sample_size-is-allsdsscorr__calc_illum-is-False__sample-is-sdss__try_linear-is-False 	 MAIN1-START	SETUP THE MATRIX place all free parameters in columns for this particular run.
4	sample_size-is-allsdsscorr__calc_illum-is-False__sample-is-sdss__try_linear-is-False 	 MAIN1-END	SETUP THE MATRIX place all free parameters in columns for this particular run.
4	sample_size-is-allsdsscorr__calc_illum-is-False__sample-is-sdss__try_linear-is-False 	 MAIN2-START	FILL THE MATRIX WITH INFORMATION
4	sample_size-is-allsdsscorr__calc_illum-is-False__sample-is-sdss__try_linear-is-False 	 MAIN2a-START	put M^exp_star info in MATRIX
4	sample_size-is-allsdsscorr__calc_illum-is-False__sample-is-sdss__try_linear-is-False 	 MAIN2a-END	put M^exp_star info in MATRIX
4	sample_size-is-allsdsscorr__calc_illum-is-False__sample-is-sdss__try_linear-is-False 	 MAIN2b-START	put SDSS match information in MATRIX (if sample=='sdss' or sample=='bootstrap')
4	sample_size-is-allsdsscorr__calc_illum-is-False__sample-is-sdss__try_linear-is-False 	 MAIN2b-END	put SDSS match information in MATRIX (if sample=='sdss' or sample=='bootstrap')
4	sample_size-is-allsdsscorr__calc_illum-is-False__sample-is-sdss__try_linear-is-False 	 MAIN2-END	FILL THE MATRIX WITH INFORMATION
4	sample_size-is-allsdsscorr__calc_illum-is-False__sample-is-sdss__try_linear-is-False 	 MAIN3-START	DO FITTING
4	sample_size-is-allsdsscorr__calc_illum-is-False__sample-is-sdss__try_linear-is-False 	 MAIN3-END	DO FITTING
4	sample_size-is-allsdsscorr__calc_illum-is-False__sample-is-sdss__try_linear-is-False 	 MAIN4-START	SAVE CATALOGS/FITS/PLOTS
4	sample_size-is-allsdsscorr__calc_illum-is-False__sample-is-sdss__try_linear-is-False 	 MAIN4b-START	MAKE nocorrected_data PLOTS with calcDataIllum (if sample != 'None' and "rand" not in sample_size)
4	sample_size-is-allsdsscorr__calc_illum-is-False__sample-is-sdss__try_linear-is-False 	 MAIN4b-END	MAKE nocorrected_data PLOTS with calcDataIllum (if sample != 'None' and "rand" not in sample_size)
4	sample_size-is-allsdsscorr__calc_illum-is-False__sample-is-sdss__try_linear-is-False 	 MAIN4-END	SAVE CATALOGS/FITS/PLOTS
5	sample_size-is-allsdssuncorr__calc_illum-is-False__sample-is-sdss__try_linear-is-False 	 MAIN1-START	SETUP THE MATRIX place all free parameters in columns for this particular run.
5	sample_size-is-allsdssuncorr__calc_illum-is-False__sample-is-sdss__try_linear-is-False 	 MAIN1-END	SETUP THE MATRIX place all free parameters in columns for this particular run.
5	sample_size-is-allsdssuncorr__calc_illum-is-False__sample-is-sdss__try_linear-is-False 	 MAIN2-START	FILL THE MATRIX WITH INFORMATION
5	sample_size-is-allsdssuncorr__calc_illum-is-False__sample-is-sdss__try_linear-is-False 	 MAIN2a-START	put M^exp_star info in MATRIX
5	sample_size-is-allsdssuncorr__calc_illum-is-False__sample-is-sdss__try_linear-is-False 	 MAIN2a-END	put M^exp_star info in MATRIX
5	sample_size-is-allsdssuncorr__calc_illum-is-False__sample-is-sdss__try_linear-is-False 	 MAIN2b-START	put SDSS match information in MATRIX (if sample=='sdss' or sample=='bootstrap')
5	sample_size-is-allsdssuncorr__calc_illum-is-False__sample-is-sdss__try_linear-is-False 	 MAIN2b-END	put SDSS match information in MATRIX (if sample=='sdss' or sample=='bootstrap')
5	sample_size-is-allsdssuncorr__calc_illum-is-False__sample-is-sdss__try_linear-is-False 	 MAIN2-END	FILL THE MATRIX WITH INFORMATION
5	sample_size-is-allsdssuncorr__calc_illum-is-False__sample-is-sdss__try_linear-is-False 	 MAIN3-START	DO FITTING
