FRAMEID       DATE_OBS    DATA_TYPE  OBJECT     FILTER  ECLLONG    ECLLAT    EXPTIME  OBSERVER            PSF_SIGMA  PSF_ELLIP  
SUPA00328760  2004-07-18  OBJECT     A2204      W-J-V   245.52884  27.16088   120.00  uh55b                    0.57      0.069
SUPA00328770  2004-07-18  OBJECT     A2204      W-J-V   245.52601  27.17558   120.00  uh55b                    0.56      0.083
SUPA00328780  2004-07-18  OBJECT     A2204      W-J-V   245.52321  27.19040   120.00  uh55b                    0.57      0.060
SUPA00328790  2004-07-18  OBJECT     A2204      W-J-V   245.51226  27.15831   120.00  uh55b                    0.61      0.044
SUPA00328800  2004-07-18  OBJECT     A2204      W-J-V   245.50942  27.17307   120.00  uh55b                    0.57      0.089
SUPA00328810  2004-07-18  OBJECT     A2204      W-J-V   245.50666  27.18789   120.00  uh55b                    0.57      0.075
SUPA00486460  2006-06-25  OBJECT     A2204      W-C-RC  245.57516  27.14836    30.00  Ebeling                  0.77      0.029
SUPA00486470  2006-06-25  OBJECT     A2204      W-C-RC  245.57245  27.16322    30.00  Ebeling                  0.87      0.051
SUPA00486480  2006-06-25  OBJECT     A2204      W-C-RC  245.56967  27.17795    30.00  Ebeling                  0.86      0.052
SUPA00486490  2006-06-25  OBJECT     A2204      W-C-RC  245.55866  27.14593    30.00  Ebeling                  0.76      0.051
SUPA00486500  2006-06-25  OBJECT     A2204      W-C-RC  245.55578  27.16063    30.00  Ebeling                  0.85      0.033
SUPA00486510  2006-06-25  OBJECT     A2204      W-C-RC  245.55307  27.17550    30.00  Ebeling                  0.75      0.043
SUPA00486520  2006-06-25  OBJECT     A2204      W-C-RC  245.54195  27.14333    30.00  Ebeling                  0.85      0.046
SUPA00486530  2006-06-25  OBJECT     A2204      W-C-RC  245.53918  27.15821    30.00  Ebeling                  0.69      0.075
SUPA00486540  2006-06-25  OBJECT     A2204      W-C-RC  245.53643  27.17296    30.00  Ebeling                  0.66      0.061
SUPA00486550  2006-06-25  OBJECT     A2204      W-C-RC  245.57856  27.14639    30.00  Ebeling                  0.68      0.041
SUPA00486560  2006-06-25  OBJECT     A2204      W-C-RC  245.57517  27.16359    30.00  Ebeling                  0.76      0.061
SUPA00486570  2006-06-25  OBJECT     A2204      W-C-RC  245.57192  27.18080    30.00  Ebeling                  0.76      0.035
SUPA00486580  2006-06-25  OBJECT     A2204      W-C-RC  245.55912  27.14348    30.00  Ebeling                  0.71      0.041
SUPA00486590  2006-06-25  OBJECT     A2204      W-C-RC  245.55582  27.16068    30.00  Ebeling                  0.74      0.051
SUPA00486600  2006-06-25  OBJECT     A2204      W-C-RC  245.55264  27.17798    30.00  Ebeling                  0.83      0.030
SUPA00486610  2006-06-25  OBJECT     A2204      W-C-RC  245.53968  27.14058    30.00  Ebeling                  0.81      0.029
SUPA00486620  2006-06-25  OBJECT     A2204      W-C-RC  245.53652  27.15775    30.00  Ebeling                  0.71      0.035
SUPA00486630  2006-06-25  OBJECT     A2204      W-C-RC  245.53321  27.17503    30.00  Ebeling                  0.63      0.011
SUPA00486650  2006-06-25  OBJECT     A2204      W-J-V   245.57535  27.14840    30.00  Ebeling                  0.68      0.015
SUPA00486660  2006-06-25  OBJECT     A2204      W-J-V   245.57237  27.16315    30.00  Ebeling                  0.73      0.036
SUPA00486670  2006-06-25  OBJECT     A2204      W-J-V   245.56961  27.17800    30.00  Ebeling                  0.65      0.053
SUPA00486680  2006-06-25  OBJECT     A2204      W-J-V   245.55866  27.14593    30.00  Ebeling                  0.67      0.024
SUPA00486690  2006-06-25  OBJECT     A2204      W-J-V   245.55582  27.16067    30.00  Ebeling                  0.77      0.065
SUPA00486700  2006-06-25  OBJECT     A2204      W-J-V   245.55307  27.17549    30.00  Ebeling                  0.68      0.021
SUPA00486710  2006-06-25  OBJECT     A2204      W-J-V   245.54208  27.14338    30.00  Ebeling                  0.60      0.062
SUPA00486720  2006-06-25  OBJECT     A2204      W-J-V   245.53918  27.15822    30.00  Ebeling                  0.54      0.051
SUPA00486730  2006-06-25  OBJECT     A2204      W-J-V   245.53643  27.17299    30.00  Ebeling                  0.58      0.018
SUPA00486740  2006-06-25  OBJECT     A2204      W-J-V   245.57853  27.14629    30.00  Ebeling                  0.53      0.022
SUPA00486750  2006-06-25  OBJECT     A2204      W-J-V   245.57522  27.16360    30.00  Ebeling                  0.55      0.059
SUPA00486760  2006-06-25  OBJECT     A2204      W-J-V   245.57206  27.18079    30.00  Ebeling                  0.54      0.050
SUPA00486770  2006-06-25  OBJECT     A2204      W-J-V   245.55914  27.14338    30.00  Ebeling                  0.58      0.035
SUPA00486780  2006-06-25  OBJECT     A2204      W-J-V   245.55583  27.16064    30.00  Ebeling                  0.62      0.065
SUPA00486790  2006-06-25  OBJECT     A2204      W-J-V   245.55264  27.17800    30.00  Ebeling                  0.55      0.029
SUPA00486800  2006-06-25  OBJECT     A2204      W-J-V   245.53964  27.14051    30.00  Ebeling                  0.49      0.035
SUPA00486810  2006-06-25  OBJECT     A2204      W-J-V   245.53642  27.15779    30.00  Ebeling                  0.67      0.028
SUPA00486820  2006-06-25  OBJECT     A2204      W-J-V   245.53321  27.17503    30.00  Ebeling                  0.68      0.024
SUPA00486830  2006-06-25  OBJECT     A2204      W-J-B   245.57536  27.14835    30.00  Ebeling                  0.79      0.021
SUPA00486840  2006-06-25  OBJECT     A2204      W-J-B   245.57241  27.16317    30.00  Ebeling                  0.73      0.084
SUPA00486850  2006-06-25  OBJECT     A2204      W-J-B   245.56962  27.17793    30.00  Ebeling                  0.73      0.072
SUPA00486860  2006-06-25  OBJECT     A2204      W-J-B   245.55857  27.14589    30.00  Ebeling                  0.82      0.084
SUPA00486870  2006-06-25  OBJECT     A2204      W-J-B   245.55578  27.16064    30.00  Ebeling                  0.73      0.082
SUPA00486880  2006-06-25  OBJECT     A2204      W-J-B   245.55306  27.17550    30.00  Ebeling                  0.75      0.090
SUPA00486890  2006-06-25  OBJECT     A2204      W-J-B   245.54203  27.14339    30.00  Ebeling                  0.79      0.058
SUPA00486900  2006-06-25  OBJECT     A2204      W-J-B   245.53922  27.15824    30.00  Ebeling                  0.81      0.103
SUPA00486910  2006-06-25  OBJECT     A2204      W-J-B   245.53639  27.17296    30.00  Ebeling                  1.01      0.026
SUPA00486920  2006-06-25  OBJECT     A2204      W-J-B   245.57853  27.14631    30.00  Ebeling                  0.84      0.083
SUPA00486930  2006-06-25  OBJECT     A2204      W-J-B   245.57527  27.16359    30.00  Ebeling                  0.95      0.083
SUPA00486940  2006-06-25  OBJECT     A2204      W-J-B   245.57186  27.18087    30.00  Ebeling                  0.94      0.048
SUPA00486950  2006-06-25  OBJECT     A2204      W-J-B   245.55907  27.14352    30.00  Ebeling                  0.98      0.070
SUPA00486960  2006-06-25  OBJECT     A2204      W-J-B   245.55582  27.16066    30.00  Ebeling                  0.99      0.046
SUPA00486970  2006-06-25  OBJECT     A2204      W-J-B   245.55261  27.17789    30.00  Ebeling                  0.90      0.057
SUPA00486980  2006-06-25  OBJECT     A2204      W-J-B   245.53974  27.14050    30.00  Ebeling                  1.00      0.059
SUPA00486990  2006-06-25  OBJECT     A2204      W-J-B   245.53638  27.15774    30.00  Ebeling                  1.17      0.032
SUPA00487000  2006-06-25  OBJECT     A2204      W-J-B   245.53316  27.17501    30.00  Ebeling                  1.04      0.042
SUPA01083430  2009-03-28  OBJECT     Abell2204  W-J-V   245.58889  27.17594   240.00  Smith, May, Okabe        1.17      0.004
SUPA01083440  2009-03-28  OBJECT     Abell2204  W-J-V   245.57707  27.18622   240.00  Smith, May, Okabe        1.10      0.023
SUPA01083450  2009-03-28  OBJECT     Abell2204  W-J-V   245.56242  27.17943   240.00  Smith, May, Okabe        1.31      0.019
SUPA01083460  2009-03-28  OBJECT     Abell2204  W-J-V   245.56517  27.16492   240.00  Smith, May, Okabe        1.08      0.015
SUPA01083470  2009-03-28  OBJECT     Abell2204  W-J-V   245.58151  27.16277   240.00  Smith, May, Okabe        1.13      0.050
SUPA01085200  2009-03-29  OBJECT     Abell2204  W-S-I+  245.58889  27.17591   240.00  Smith, May, Okabe        0.77      0.029
SUPA01085210  2009-03-29  OBJECT     Abell2204  W-S-I+  245.58186  27.18483   240.00  Smith, May, Okabe        0.73      0.021
SUPA01085220  2009-03-29  OBJECT     Abell2204  W-S-I+  245.56970  27.18541   240.00  Smith, May, Okabe        0.68      0.030
SUPA01085230  2009-03-29  OBJECT     Abell2204  W-S-I+  245.56153  27.17734   240.00  Smith, May, Okabe        0.68      0.013
SUPA01085240  2009-03-29  OBJECT     Abell2204  W-S-I+  245.56360  27.16670   240.00  Smith, May, Okabe        0.67      0.036
SUPA01085250  2009-03-29  OBJECT     Abell2204  W-S-I+  245.57419  27.16143   240.00  Smith, May, Okabe        0.64      0.035
SUPA01085260  2009-03-29  OBJECT     Abell2204  W-S-I+  245.58552  27.16549   240.00  Smith, May, Okabe        0.67      0.037
SUPA01125190  2009-09-19  OBJECT     A2204      W-J-V   245.59698  27.17609   240.00  Haines, May, Okabe       1.03      0.048
SUPA01125200  2009-09-19  OBJECT     A2204      W-J-V   245.58921  27.18589   240.00  Haines, May, Okabe       0.99      0.056
SUPA01125210  2009-09-19  OBJECT     A2204      W-J-V   245.57570  27.18663   240.00  Haines, May, Okabe       0.92      0.030
SUPA01125220  2009-09-19  OBJECT     A2204      W-J-V   245.56671  27.17764   240.00  Haines, May, Okabe       1.04      0.025
SUPA01125230  2009-09-19  OBJECT     A2204      W-J-V   245.56900  27.16582   240.00  Haines, May, Okabe       1.35      0.021
SUPA01125240  2009-09-19  OBJECT     A2204      W-J-V   245.58079  27.15995   240.00  Haines, May, Okabe       1.25      0.011
SUPA01125250  2009-09-19  OBJECT     A2204      W-J-V   245.59331  27.16447   240.00  Haines, May, Okabe       1.00      0.018
