FRAMEID       DATE_OBS    DATA_TYPE  OBJECT             FILTER  ECLLONG    ECLLAT    EXPTIME  OBSERVER             PSF_SIGMA  PSF_ELLIP  
SUPA00198850  2003-04-04  OBJECT     MACSJ1115          W-C-RC  169.34078  -2.99459   240.00  Ebeling, Kaiser           0.57      0.057
SUPA00198860  2003-04-04  OBJECT     MACSJ1115          W-C-RC  169.33486  -2.98077   240.00  Ebeling, Kaiser           0.59      0.028
SUPA00198870  2003-04-04  OBJECT     MACSJ1115          W-C-RC  169.32895  -2.96710   240.00  Ebeling, Kaiser           0.56      0.029
SUPA00198880  2003-04-04  OBJECT     MACSJ1115          W-C-RC  169.32700  -3.00043   240.00  Ebeling, Kaiser           0.67      0.044
SUPA00198890  2003-04-04  OBJECT     MACSJ1115          W-C-RC  169.32103  -2.98673   240.00  Ebeling, Kaiser           0.68      0.036
SUPA00198900  2003-04-04  OBJECT     MACSJ1115          W-C-RC  169.31526  -2.97284   240.00  Ebeling, Kaiser           0.72      0.046
SUPA00198910  2003-04-04  OBJECT     MACSJ1115          W-C-RC  169.31306  -3.00634   240.00  Ebeling, Kaiser           0.65      0.052
SUPA00198920  2003-04-04  OBJECT     MACSJ1115          W-C-RC  169.30718  -2.99262   240.00  Ebeling, Kaiser           0.76      0.056
SUPA00198930  2003-04-04  OBJECT     MACSJ1115          W-C-RC  169.30141  -2.97873   240.00  Ebeling, Kaiser           0.72      0.046
SUPA01058470  2009-01-23  OBJECT     MACSJ1115_I        W-C-IC  169.40224  -2.98653   360.00  Ebeling                   1.00      0.028
SUPA01058480  2009-01-23  OBJECT     MACSJ1115_I        W-C-IC  169.38521  -2.97205   360.00  Ebeling                   0.79      0.015
SUPA01058490  2009-01-23  OBJECT     MACSJ1115_I        W-C-IC  169.41663  -2.96954   360.00  Ebeling                   0.87      0.018
SUPA01058500  2009-01-23  OBJECT     MACSJ1115_I        W-C-IC  169.41911  -3.00115   360.00  Ebeling                   1.02      0.029
