filename                                         mode     lquartile  median   uquartile  mean     sigma  goodpix  goodpix%
W-J-V_2010-03-12/SCIENCE/SUPA0119724_3OCF.fits   1765.07  1747.83    1766.01  1784.96    1856.79  26.43  8364704  99.93
W-J-V_2010-03-12/SCIENCE/SUPA0119725_3OCF.fits   1765.01  1747.96    1766.01  1785.18    1858.90  26.16  8364415  99.93
W-J-V_2010-03-12/SCIENCE/SUPA0119726_3OCF.fits   1770.07  1753.23    1771.35  1790.47    1876.06  26.50  8365002  99.94
W-J-V_2010-03-12/SCIENCE/SUPA0119727_3OCF.fits   1783.34  1765.99    1784.12  1802.89    1897.09  26.59  8364798  99.93
W-J-V_2010-03-12/SCIENCE/SUPA0119728_3OCF.fits   1790.87  1773.76    1791.59  1810.62    1917.52  26.23  8364639  99.93
W-J-V_2010-03-12/SCIENCE/SUPA0119729_3OCF.fits   1792.51  1775.44    1793.59  1811.75    1932.58  26.81  8365180  99.94
W-J-V_2010-03-12/SCIENCE/SUPA0119730_3OCF.fits   1780.67  1763.66    1781.41  1800.30    1894.60  26.08  8364655  99.93
W-J-V_2010-12-05/SCIENCE/SUPA0127033_3OCF.fits   1349.54  1334.35    1350.79  1368.38    1339.51  23.61  8364053  99.92
W-J-V_2010-12-05/SCIENCE/SUPA0127034_3OCF.fits   1345.42  1329.65    1346.66  1364.52    1333.40  24.50  8363223  99.91
W-J-V_2010-12-05/SCIENCE/SUPA0127035_3OCF.fits   1329.23  1313.77    1330.51  1348.42    1334.99  24.04  8364862  99.93
W-J-V_2010-12-05/SCIENCE/SUPA0127036_3OCF.fits   1332.28  1316.89    1333.36  1350.91    1333.64  23.91  8364252  99.93
W-J-V_2010-12-05/SCIENCE/SUPA0127037_3OCF.fits   1320.11  1305.54    1321.08  1337.76    1327.77  22.64  8364365  99.93
W-J-V_2010-12-05/SCIENCE/SUPA0127038_3OCF.fits   1352.42  1337.24    1353.69  1370.37    1352.90  23.87  8365531  99.94
W-J-V_2010-12-05/SCIENCE/SUPA0127039_3OCF.fits   1326.88  1311.78    1327.90  1344.73    1331.57  23.45  8363706  99.92
W-S-I+_2010-03-12/SCIENCE/SUPA0119732_3OCF.fits  7839.91  7801.37    7842.21  7885.48    8182.02  59.11  8357389  99.84
W-S-I+_2010-03-12/SCIENCE/SUPA0119733_3OCF.fits  7765.42  7727.93    7768.13  7810.84    8169.07  58.27  8358051  99.85
W-S-I+_2010-03-12/SCIENCE/SUPA0119734_3OCF.fits  7832.32  7793.73    7835.03  7879.07    8195.90  59.97  8359055  99.86
W-S-I+_2010-03-12/SCIENCE/SUPA0119735_3OCF.fits  7816.30  7777.93    7819.32  7861.66    8182.98  60.33  8357752  99.85
W-S-I+_2010-03-12/SCIENCE/SUPA0119736_3OCF.fits  7939.51  7902.08    7942.41  7984.84    8210.10  58.16  8357047  99.84
W-S-I+_2010-03-12/SCIENCE/SUPA0119737_3OCF.fits  7986.36  7947.69    7989.14  8032.09    8224.08  60.07  8357368  99.84
W-S-I+_2010-03-12/SCIENCE/SUPA0119738_3OCF.fits  7961.46  7924.08    7963.96  8006.73    8224.89  58.08  8357881  99.85
W-S-I+_2010-03-12/SCIENCE/SUPA0119739_3OCF.fits  7715.21  7678.06    7717.74  7759.13    8166.67  56.97  8359368  99.87
W-S-I+_2010-03-12/SCIENCE/SUPA0119740_3OCF.fits  7635.26  7597.83    7638.24  7679.52    8070.23  58.13  8357854  99.85
