#cluster_run_filter        exposure               back_rms  seeing
Zw2089_2007-02-13_W-J-V    SUPA0051473_8OCF.fits  32.4661   1.00500
Zw2089_2007-02-13_W-J-V    SUPA0051474_8OCF.fits  32.3481   1.20000
Zw2089_2007-02-13_W-J-V    SUPA0051475_8OCF.fits  32.3647   1.15500
Zw2089_2007-02-13_W-J-V    SUPA0051476_8OCF.fits  32.2373   0.94500
Zw2089_2007-02-13_W-J-V    SUPA0051477_8OCF.fits  32.218    0.82500
Zw2089_2007-02-13_W-S-I+   SUPA0051503_8OCF.fits  77.3176   0.75000
Zw2089_2007-02-13_W-S-I+   SUPA0051504_8OCF.fits  77.1922   0.84000
Zw2089_2007-02-13_W-S-I+   SUPA0051505_8OCF.fits  75.2305   0.94500
Zw2089_2007-02-13_W-S-I+   SUPA0051506_8OCF.fits  73.6861   1.00500
Zw2089_2007-02-13_W-S-I+   SUPA0051610_8OCF.fits  78.8518   0.93000
Zw2089_2007-02-13_W-S-I+   SUPA0051611_8OCF.fits  77.2507   1.18500
Zw2089_2007-02-13_W-S-I+   SUPA0051612_8OCF.fits  76.6082   1.06500
*Zw2089_2007-02-13_W-S-I+  SUPA0051613_8OCF.fits  77.3331   1.36500
Zw2089_2009-03-28_W-S-I+   SUPA0108251_8OCF.fits  62.7346   0.67500
Zw2089_2009-03-28_W-S-I+   SUPA0108252_8OCF.fits  60.3104   0.64500
Zw2089_2009-03-28_W-S-I+   SUPA0108253_8OCF.fits  59.4251   0.69000
Zw2089_2009-03-28_W-S-I+   SUPA0108254_8OCF.fits  59.4662   0.67500
Zw2089_2009-03-28_W-S-I+   SUPA0108255_8OCF.fits  59.8111   0.63000
Zw2089_2009-03-28_W-S-I+   SUPA0108256_8OCF.fits  59.3186   0.79500
Zw2089_2009-03-28_W-S-I+   SUPA0108257_8OCF.fits  59.0469   0.87000
Zw2089_2009-03-28_W-S-I+   SUPA0108258_8OCF.fits  59.3569   0.78000
Zw2089_2009-03-28_W-S-I+   SUPA0108259_8OCF.fits  59.3596   0.81000
Zw2089_2009-03-28_W-S-I+   SUPA0108260_8OCF.fits  59.4915   0.82500
Zw2089_2009-03-28_W-S-I+   SUPA0108261_8OCF.fits  59.5772   0.84000
Zw2089_2009-03-28_W-S-I+   SUPA0108416_8OCF.fits  70.4017   0.76500
Zw2089_2009-03-28_W-S-I+   SUPA0108417_8OCF.fits  66.8368   0.91500
Zw2089_2009-03-28_W-S-I+   SUPA0108421_8OCF.fits  64.8087   0.85500
Zw2089_2009-03-28_W-S-I+   SUPA0108422_8OCF.fits  65.7808   1.02000
Zw2089_2009-03-28_W-S-I+   SUPA0108423_8OCF.fits  65.4356   0.99000
Zw2089_2009-03-28_W-S-I+   SUPA0108424_8OCF.fits  64.2795   1.03500
Zw2089_2009-03-28_W-S-I+   SUPA0108425_8OCF.fits  63.87     1.23000
Zw2089_2009-03-28_W-S-I+   SUPA0108426_8OCF.fits  62.2646   1.05000
Zw2089_2009-03-28_W-S-I+   SUPA0108427_8OCF.fits  61.9701   0.99000
Zw2089_2009-03-28_W-S-I+   SUPA0108428_8OCF.fits  62.3928   0.90000
Zw2089_2010-03-12_W-J-V    SUPA0119554_8OCF.fits  27.6494   1.245
Zw2089_2010-03-12_W-J-V    SUPA0119555_8OCF.fits  27.2312   1.125
Zw2089_2010-03-12_W-J-V    SUPA0119557_8OCF.fits  25.6652   0.975
Zw2089_2010-03-12_W-J-V    SUPA0119558_8OCF.fits  25.216    1.125
Zw2089_2010-03-12_W-J-V    SUPA0119559_8OCF.fits  25.3314   0.930
Zw2089_2010-03-12_W-J-V    SUPA0119560_8OCF.fits  25.485    1.020
Zw2089_2010-03-12_W-J-V    SUPA0119561_8OCF.fits  25.4117   0.810
Zw2089_2010-03-12_W-J-V    SUPA0119562_8OCF.fits  25.4799   0.780
Zw2089_2010-12-05_W-J-V    SUPA0127026_8OCF.fits  25.9617   0.675
Zw2089_2010-12-05_W-J-V    SUPA0127027_8OCF.fits  25.69     0.600
Zw2089_2010-12-05_W-J-V    SUPA0127028_8OCF.fits  25.5281   0.510
Zw2089_2010-12-05_W-J-V    SUPA0127029_8OCF.fits  25.4174   0.510
Zw2089_2010-12-05_W-J-V    SUPA0127030_8OCF.fits  25.3549   0.510
Zw2089_2010-12-05_W-J-V    SUPA0127031_8OCF.fits  25.2292   0.495
Zw2089_2010-12-05_W-J-V    SUPA0127032_8OCF.fits  25.2892   0.525
Zw2701_2010-03-12_W-J-V    SUPA0119724_8OCF.fits  25.799    1.020
Zw2701_2010-03-12_W-J-V    SUPA0119725_8OCF.fits  25.7595   1.050
Zw2701_2010-03-12_W-J-V    SUPA0119726_8OCF.fits  25.7938   1.095
Zw2701_2010-03-12_W-J-V    SUPA0119727_8OCF.fits  25.8885   0.930
Zw2701_2010-03-12_W-J-V    SUPA0119728_8OCF.fits  25.9738   0.960
Zw2701_2010-03-12_W-J-V    SUPA0119729_8OCF.fits  26.0018   0.945
Zw2701_2010-03-12_W-J-V    SUPA0119730_8OCF.fits  25.9101   0.900
Zw2701_2010-03-12_W-S-I+   SUPA0119732_8OCF.fits  55.6283   0.87000
Zw2701_2010-03-12_W-S-I+   SUPA0119733_8OCF.fits  55.4694   0.82500
Zw2701_2010-03-12_W-S-I+   SUPA0119734_8OCF.fits  55.6007   0.78000
Zw2701_2010-03-12_W-S-I+   SUPA0119735_8OCF.fits  55.6079   0.78000
Zw2701_2010-03-12_W-S-I+   SUPA0119736_8OCF.fits  55.9575   0.72000
Zw2701_2010-03-12_W-S-I+   SUPA0119737_8OCF.fits  56.1585   0.64500
Zw2701_2010-03-12_W-S-I+   SUPA0119738_8OCF.fits  56.0263   0.64500
Zw2701_2010-03-12_W-S-I+   SUPA0119739_8OCF.fits  55.1815   0.70500
Zw2701_2010-03-12_W-S-I+   SUPA0119740_8OCF.fits  54.8912   0.72000
Zw2701_2010-12-05_W-J-V    SUPA0127033_8OCF.fits  22.7279   0.675
*Zw2701_2010-12-05_W-J-V   SUPA0127034_8OCF.fits  22.6362   1.020
Zw2701_2010-12-05_W-J-V    SUPA0127035_8OCF.fits  22.5163   0.780
Zw2701_2010-12-05_W-J-V    SUPA0127036_8OCF.fits  22.5731   0.585
Zw2701_2010-12-05_W-J-V    SUPA0127037_8OCF.fits  22.5064   0.600
Zw2701_2010-12-05_W-J-V    SUPA0127038_8OCF.fits  22.7954   0.585
Zw2701_2010-12-05_W-J-V    SUPA0127039_8OCF.fits  22.5652   0.645
