W-J-V_2010-03-12
FILE                 	OBJECT         	FILTER            	EXPTIME	
SUPA0119724_8OCF.fits	Zw2701   	W-J-V             	240.00 	
SUPA0119725_8OCF.fits	Zw2701   	W-J-V             	240.00 	
SUPA0119726_8OCF.fits	Zw2701   	W-J-V             	240.00 	
SUPA0119727_8OCF.fits	Zw2701   	W-J-V             	240.00 	
SUPA0119728_8OCF.fits	Zw2701   	W-J-V             	240.00 	
SUPA0119729_8OCF.fits	Zw2701   	W-J-V             	240.00 	
SUPA0119730_8OCF.fits	Zw2701   	W-J-V             	240.00 	
W-J-V_2010-12-05
FILE                 	OBJECT         	FILTER            	EXPTIME	
SUPA0127033_8OCF.fits	Zw2701   	W-J-V             	240.00 	
SUPA0127034_8OCF.fits	Zw2701   	W-J-V             	240.00 	
SUPA0127035_8OCF.fits	Zw2701   	W-J-V             	240.00 	
SUPA0127036_8OCF.fits	Zw2701   	W-J-V             	240.00 	
SUPA0127037_8OCF.fits	Zw2701   	W-J-V             	240.00 	
SUPA0127038_8OCF.fits	Zw2701   	W-J-V             	240.00 	
SUPA0127039_8OCF.fits	Zw2701   	W-J-V             	240.00 	
W-S-I+_2010-03-12
FILE                 	OBJECT         	FILTER            	EXPTIME	
SUPA0119732_8OCF.fits	Zw2701   	W-S-I+            	240.00 	
SUPA0119733_8OCF.fits	Zw2701   	W-S-I+            	240.00 	
SUPA0119734_8OCF.fits	Zw2701   	W-S-I+            	240.00 	
SUPA0119735_8OCF.fits	Zw2701   	W-S-I+            	240.00 	
SUPA0119736_8OCF.fits	Zw2701   	W-S-I+            	240.00 	
SUPA0119737_8OCF.fits	Zw2701   	W-S-I+            	240.00 	
SUPA0119738_8OCF.fits	Zw2701   	W-S-I+            	240.00 	
SUPA0119739_8OCF.fits	Zw2701   	W-S-I+            	240.00 	
SUPA0119740_8OCF.fits	Zw2701   	W-S-I+            	240.00 	
