FILE            	DOTHIS                                	TOTHIS        	
SUPA0138369.fits	SUPERFLAT_2013-02-06_W-C-RC           	Abell2744_2013	
SUPA0138370.fits	SUPERFLAT_2013-02-06_W-C-RC           	Abell2744_2013	
SUPA0138371.fits	SUPERFLAT_2013-02-06_W-C-RC           	Abell2744_2013	
SUPA0138372.fits	SUPERFLAT_2013-02-06_W-C-RC           	Abell2744_2013	
SUPA0138373.fits	SUPERFLAT_2013-02-06_W-C-RC           	Abell2744_2013	
SUPA0138374.fits	SUPERFLAT_2013-02-06_W-C-RC           	Abell2744_2013	
SUPA0138375.fits	SUPERFLAT_2013-02-06_W-C-RC           	Abell2744_2013	
SUPA0138376.fits	SUPERFLAT_2013-02-06_W-C-RC           	Abell2744_2013	
SUPA0138377.fits	SUPERFLAT_2013-02-06_W-C-RC           	Abell2744_2013	
SUPA0138378.fits	SUPERFLAT_2013-02-06_W-C-RC           	Abell2744_2013	
SUPA0138379.fits	SUPERFLAT_2013-02-06_W-C-RC           	Abell2744_2013	
SUPA0138380.fits	SUPERFLAT_2013-02-06_W-C-RC           	Abell2744_2013	
SUPA0138381.fits	SUPERFLAT_2013-02-06_W-C-RC           	Abell2744_2013	
SUPA0138382.fits	SUPERFLAT_2013-02-06_W-C-RC           	Abell2744_2013	
SUPA0138383.fits	SUPERFLAT_2013-02-06_W-C-RC           	Abell2744_2013	
SUPA0138384.fits	SUPERFLAT_2013-02-06_W-C-RC           	Abell2744_2013	
SUPA0138385.fits	SUPERFLAT_2013-02-06_W-C-RC           	Abell2744_2013	
SUPA0138386.fits	SUPERFLAT_2013-02-06_W-C-RC           	Abell2744_2013	
SUPA0138387.fits	SUPERFLAT_2013-02-06_W-C-RC           	Abell2744_2013	
SUPA0138388.fits	SUPERFLAT_2013-02-06_W-C-RC           	Abell2744_2013	
SUPA0138389.fits	SUPERFLAT_2013-02-06_W-C-RC           	Abell2744_2013	
SUPA0138390.fits	SUPERFLAT_2013-02-06_W-C-RC           	Abell2744_2013	
SUPA0138391.fits	SUPERFLAT_2013-02-06_W-C-RC           	Abell2744_2013	
SUPA0138392.fits	SUPERFLAT_2013-02-06_W-C-RC           	Abell2744_2013	
SUPA0138393.fits	SUPERFLAT_2013-02-06_W-C-RC           	Abell2744_2013	
SUPA0138394.fits	SUPERFLAT_2013-02-06_W-C-RC           	Abell2744_2013	
SUPA0138395.fits	SUPERFLAT_2013-02-06_W-C-RC           	Abell2744_2013	
SUPA0138396.fits	SUPERFLAT_2013-02-06_W-C-RC           	Abell2744_2013	
SUPA0138397.fits	SUPERFLAT_2013-02-06_W-C-RC           	Abell2744_2013	
SUPA0138398.fits	SUPERFLAT_2013-02-06_W-C-RC           	Abell2744_2013	
SUPA0138307.fits	SUPERFLAT_2013-02-06_2013-06-10_W-J-B 	Abell2744_2013	
SUPA0138308.fits	SUPERFLAT_2013-02-06_2013-06-10_W-J-B 	Abell2744_2013	
SUPA0138309.fits	SUPERFLAT_2013-02-06_2013-06-10_W-J-B 	Abell2744_2013	
SUPA0138310.fits	SUPERFLAT_2013-02-06_2013-06-10_W-J-B 	Abell2744_2013	
SUPA0138311.fits	SUPERFLAT_2013-02-06_2013-06-10_W-J-B 	Abell2744_2013	
SUPA0138312.fits	SUPERFLAT_2013-02-06_2013-06-10_W-J-B 	Abell2744_2013	
SUPA0138313.fits	SUPERFLAT_2013-02-06_2013-06-10_W-J-B 	Abell2744_2013	
SUPA0138314.fits	SUPERFLAT_2013-02-06_2013-06-10_W-J-B 	Abell2744_2013	
SUPA0138315.fits	SUPERFLAT_2013-02-06_2013-06-10_W-J-B 	Abell2744_2013	
SUPA0138316.fits	SUPERFLAT_2013-02-06_2013-06-10_W-J-B 	Abell2744_2013	
SUPA0138317.fits	SUPERFLAT_2013-02-06_2013-06-10_W-J-B 	Abell2744_2013	
SUPA0138318.fits	SUPERFLAT_2013-02-06_2013-06-10_W-J-B 	Abell2744_2013	
SUPA0138319.fits	SUPERFLAT_2013-02-06_2013-06-10_W-J-B 	Abell2744_2013	
SUPA0138320.fits	SUPERFLAT_2013-02-06_2013-06-10_W-J-B 	Abell2744_2013	
SUPA0138321.fits	SUPERFLAT_2013-02-06_2013-06-10_W-J-B 	Abell2744_2013	
SUPA0138322.fits	SUPERFLAT_2013-02-06_2013-06-10_W-J-B 	Abell2744_2013	
SUPA0138323.fits	SUPERFLAT_2013-02-06_2013-06-10_W-J-B 	Abell2744_2013	
SUPA0138324.fits	SUPERFLAT_2013-02-06_2013-06-10_W-J-B 	Abell2744_2013	
SUPA0138325.fits	SUPERFLAT_2013-02-06_2013-06-10_W-J-B 	Abell2744_2013	
SUPA0138326.fits	SUPERFLAT_2013-02-06_2013-06-10_W-J-B 	Abell2744_2013	
