BASE            FILTER  SEEING  RATE_BBCR  TOTAL_BBCR  EXPTIME  RMS    ERASED  TOTAL  CRonSTAR  FT400_new  LastStretch  SS_removed
SUPA0118331_1   W-C-RC  0.70    1.21       435         360      34.78  0       447    12        1          13           7
SUPA0118331_10  W-C-RC  0.70    1.31       470         360      34.78  0       473    3         1          20           12
SUPA0118331_2   W-C-RC  0.70    1.18       425         360      34.04  0       441    16        1          10           5
SUPA0118331_3   W-C-RC  0.70    1.26       455         360      33.95  0       468    13        1          12           3
SUPA0118331_4   W-C-RC  0.70    1.12       403         360      33.84  0       426    23        0          12           9
SUPA0118331_5   W-C-RC  0.70    1.32       477         360      35.04  0       486    9         1          14           6
SUPA0118331_6   W-C-RC  0.70    1.29       465         360      35.82  0       472    7         0          13           6
SUPA0118331_7   W-C-RC  0.70    1.32       475         360      34.08  0       487    12        1          22           4
SUPA0118331_8   W-C-RC  0.70    1.21       434         360      33.76  0       449    15        1          21           10
SUPA0118331_9   W-C-RC  0.70    1.30       467         360      33.67  0       473    6         0          15           3
SUPA0118332_1   W-C-RC  0.85    1.30       469         360      35.01  0       482    13        3          7            7
SUPA0118332_10  W-C-RC  0.85    1.32       476         360      35.01  0       480    4         0          12           2
SUPA0118332_2   W-C-RC  0.85    1.21       434         360      34.45  0       450    16        1          13           9
SUPA0118332_3   W-C-RC  0.85    1.18       424         360      34.24  0       432    8         2          13           2
SUPA0118332_4   W-C-RC  0.85    1.36       491         360      34.14  0       508    17        0          15           6
SUPA0118332_5   W-C-RC  0.85    1.40       505         360      35.53  0       524    19        1          13           3
SUPA0118332_6   W-C-RC  0.85    1.20       431         360      36.31  0       434    3         0          11           5
SUPA0118332_7   W-C-RC  0.85    1.22       440         360      34.48  0       457    17        1          16           11
SUPA0118332_8   W-C-RC  0.85    1.15       413         360      34.26  0       424    11        1          8            6
SUPA0118332_9   W-C-RC  0.85    1.21       437         360      34.00  0       449    12        1          6            3
SUPA0118333_1   W-C-RC  0.77    1.28       462         360      35.29  1       479    17        0          17           11
SUPA0118333_10  W-C-RC  0.77    1.23       442         360      35.29  0       448    6         0          9            3
SUPA0118333_2   W-C-RC  0.77    1.19       427         360      34.66  0       449    22        2          22           4
SUPA0118333_3   W-C-RC  0.77    1.18       424         360      34.70  0       433    9         0          10           3
SUPA0118333_4   W-C-RC  0.77    1.18       424         360      34.47  0       438    14        0          9            6
SUPA0118333_5   W-C-RC  0.77    1.18       423         360      35.71  0       433    10        0          11           5
SUPA0118333_6   W-C-RC  0.77    1.31       472         360      36.47  0       479    7         2          19           3
SUPA0118333_7   W-C-RC  0.77    1.23       443         360      34.72  0       460    17        0          13           8
SUPA0118333_8   W-C-RC  0.77    1.21       434         360      34.28  1       452    18        2          18           8
SUPA0118333_9   W-C-RC  0.77    1.09       391         360      34.19  0       399    8         1          12           5
SUPA0118334_1   W-C-RC  0.61    1.17       421         360      35.77  0       431    10        1          12           6
SUPA0118334_10  W-C-RC  0.61    1.30       468         360      35.77  1       479    11        1          15           4
SUPA0118334_2   W-C-RC  0.61    1.14       410         360      35.33  2       433    23        0          15           5
SUPA0118334_3   W-C-RC  0.61    1.19       430         360      34.99  1       442    12        2          14           6
SUPA0118334_4   W-C-RC  0.61    1.21       437         360      35.21  1       455    18        0          10           5
SUPA0118334_5   W-C-RC  0.61    1.15       414         360      36.83  3       430    16        0          10           11
SUPA0118334_6   W-C-RC  0.61    1.21       436         360      37.09  1       450    14        2          13           6
SUPA0118334_7   W-C-RC  0.61    1.29       464         360      35.36  0       475    11        0          7            3
SUPA0118334_8   W-C-RC  0.61    1.19       427         360      34.80  1       444    17        1          10           4
SUPA0118334_9   W-C-RC  0.61    1.25       451         360      34.38  2       465    14        2          14           5
SUPA0118335_1   W-C-RC  0.61    1.35       485         360      37.79  5       504    19        1          22           8
SUPA0118335_10  W-C-RC  0.61    1.18       426         360      37.79  4       434    8         0          12           4
SUPA0118335_2   W-C-RC  0.61    1.24       446         360      36.93  1       468    22        0          7            3
SUPA0118335_3   W-C-RC  0.61    1.23       441         360      36.78  6       462    21        0          14           9
SUPA0118335_4   W-C-RC  0.61    1.27       458         360      36.87  5       474    16        0          16           8
SUPA0118335_5   W-C-RC  0.61    1.23       443         360      39.15  4       464    21        2          12           11
SUPA0118335_6   W-C-RC  0.61    1.18       423         360      38.84  2       442    19        2          11           7
SUPA0118335_7   W-C-RC  0.61    1.21       435         360      37.00  0       444    9         1          15           8
SUPA0118335_8   W-C-RC  0.61    1.33       478         360      36.40  2       496    18        3          19           5
SUPA0118335_9   W-C-RC  0.61    1.22       438         360      36.04  3       450    12        2          17           6
SUPA0118336_1   W-C-RC  0.57    1.12       405         360      44.35  8       417    12        2          11           10
SUPA0118336_10  W-C-RC  0.57    1.24       446         360      44.35  11      459    13        2          12           17
SUPA0118336_2   W-C-RC  0.57    1.17       422         360      43.08  15      448    26        0          16           18
SUPA0118336_3   W-C-RC  0.57    1.10       397         360      42.81  27      424    27        3          10           14
SUPA0118336_4   W-C-RC  0.57    1.11       399         360      43.08  11      413    14        1          16           7
SUPA0118336_5   W-C-RC  0.57    1.19       428         360      45.58  17      446    18        1          10           20
SUPA0118336_6   W-C-RC  0.57    1.22       438         360      45.45  11      451    13        1          15           17
SUPA0118336_7   W-C-RC  0.57    1.18       423         360      43.16  13      437    14        4          14           9
SUPA0118336_8   W-C-RC  0.57    1.19       430         360      42.43  13      449    19        2          11           12
SUPA0118336_9   W-C-RC  0.57    1.21       437         360      42.16  25      447    10        2          13           15
