BASE            FILTER  SEEING  RATE_BBCR  TOTAL_BBCR  EXPTIME  RMS    ERASED  TOTAL  CRonSTAR  FT400_new  LastStretch  SS_removed
SUPA0121402_8   W-S-I+  0.77    1.37       328         240      51.94  0       334    6         1          6            6
SUPA0121389_1   W-S-I+  0.87    1.40       336         240      52.32  0       341    5         1          6            6
SUPA0121389_10  W-S-I+  0.87    1.30       313         240      52.32  0       327    14        0          9            6
SUPA0121389_2   W-S-I+  0.87    1.37       328         240      50.26  0       358    30        0          6            7
SUPA0121389_3   W-S-I+  0.87    1.48       354         240      50.30  0       364    10        0          13           2
SUPA0121389_4   W-S-I+  0.87    1.20       289         240      50.23  0       309    20        1          8            1
SUPA0121389_5   W-S-I+  0.87    1.20       287         240      52.35  0       298    11        0          7            5
SUPA0121389_6   W-S-I+  0.87    1.28       308         240      51.88  0       328    20        0          3            4
SUPA0121389_7   W-S-I+  0.87    1.39       333         240      50.10  0       368    35        0          10           3
SUPA0121389_8   W-S-I+  0.87    1.36       326         240      49.99  0       351    25        1          11           3
SUPA0121389_9   W-S-I+  0.87    1.40       335         240      50.07  0       352    17        0          13           5
SUPA0121390_1   W-S-I+  0.85    1.20       289         240      51.27  1       296    7         0          11           4
SUPA0121390_10  W-S-I+  0.85    1.31       314         240      51.27  0       334    20        1          10           3
SUPA0121390_2   W-S-I+  0.85    1.25       301         240      49.44  0       340    39        0          10           1
SUPA0121390_3   W-S-I+  0.85    1.28       308         240      49.26  0       320    12        0          9            3
SUPA0121390_4   W-S-I+  0.85    1.14       274         240      49.20  0       303    29        3          3            8
SUPA0121390_5   W-S-I+  0.85    1.33       320         240      51.26  0       339    19        0          14           3
SUPA0121390_6   W-S-I+  0.85    1.47       352         240      50.98  0       388    36        0          10           2
SUPA0121390_7   W-S-I+  0.85    1.39       333         240      49.12  0       391    58        1          9            6
SUPA0121390_8   W-S-I+  0.85    1.28       308         240      49.07  0       328    20        1          5            2
SUPA0121390_9   W-S-I+  0.85    1.21       290         240      49.02  0       315    25        0          6            4
SUPA0121391_1   W-S-I+  0.77    1.35       324         240      50.81  0       334    10        0          7            6
SUPA0121391_10  W-S-I+  0.77    1.40       337         240      50.81  0       357    20        0          5            7
SUPA0121391_3   W-S-I+  0.77    1.46       351         240      49.01  1       367    16        1          18           2
SUPA0121391_4   W-S-I+  0.77    1.40       337         240      48.89  0       374    37        0          12           7
