FILE                                      	SEEING	
coadd_MACS1115+01_SUPA0019885.W-C-RC.fits 	0.57  	
coadd_MACS1115+01_SUPA0019886.W-C-RC.fits 	0.58  	
coadd_MACS1115+01_SUPA0019887.W-C-RC.fits 	0.55  	
coadd_MACS1115+01_SUPA0019888.W-C-RC.fits 	0.66  	
coadd_MACS1115+01_SUPA0019889.W-C-RC.fits 	0.66  	
coadd_MACS1115+01_SUPA0019890.W-C-RC.fits 	0.72  	
coadd_MACS1115+01_SUPA0019891.W-C-RC.fits 	0.64  	
coadd_MACS1115+01_SUPA0019892.W-C-RC.fits 	0.76  	
coadd_MACS1115+01_SUPA0019893.W-C-RC.fits 	0.74  	
coadd_MACS1115+01_SUPA0105854.W-J-V.fits  	0.95  	
coadd_MACS1115+01_SUPA0105855.W-J-V.fits  	1.07  	
coadd_MACS1115+01_SUPA0105856.W-J-V.fits  	0.93  	
coadd_MACS1115+01_SUPA0105857.W-J-V.fits  	0.86  	
coadd_MACS1115+01_SUPA0105858.W-J-V.fits  	0.91  	
coadd_MACS1115+01_SUPA0105859.W-J-V.fits  	0.91  	
coadd_MACS1115+01_SUPA0120144.W-C-RC.fits 	0.74  	
coadd_MACS1115+01_SUPA0120145.W-C-RC.fits 	0.74  	
coadd_MACS1115+01_SUPA0120146.W-C-RC.fits 	0.63  	
coadd_MACS1115+01_SUPA0120147.W-C-RC.fits 	0.61  	
coadd_MACS1115+01_SUPA0120148.W-C-RC.fits 	0.57  	
coadd_MACS1115+01_SUPA0120149.W-C-RC.fits 	0.55  	
coadd_MACS1115+01_SUPA0120150.W-C-RC.fits 	0.57  	
coadd_MACS1115+01_SUPA0120151.W-C-RC.fits 	0.66  	
coadd_MACS1115+01_SUPA0120152.W-C-RC.fits 	0.6   	
coadd_MACS1115+01_SUPA0120153.W-C-RC.fits 	0.52  	
coadd_MACS1115+01_all.W-C-IC.fits         	0.95  	
coadd_MACS1115+01_all.W-C-RC.fits         	0.62  	
coadd_MACS1115+01_all.W-J-B.fits          	0.68  	
coadd_MACS1115+01_all.W-J-V.fits          	0.91  	
coadd_MACS1115+01_all.W-S-Z+.fits         	0.76  	
coadd_MACS1115+01_gabodsid1554.W-C-RC.fits	0.63  	
coadd_MACS1115+01_gabodsid4094.W-C-RC.fits	0.6   	
coadd_MACS1115+01_good.W-C-RC.fits        	0.62  	
coadd_MACS1115+01_good.W-J-V.fits         	0.93  	
coadd_MACS1115+01_rot.W-C-RC.fits         	0.62  	
